Filename,Error,Correction,Context_5,Context_10,Context_15
100021.txt,seriouse,serious,could lead to dangerous and ***mask*** situations having people specialized in,his field of study that could lead to dangerous and ***mask*** situations having people specialized in specific subject is useful for,not have broad knowledge of his field of study that could lead to dangerous and ***mask*** situations having people specialized in specific subject is useful for improving the subject itself a
1001604.txt,cocepts,concepts,because understanding the ideas and ***mask*** gives the student a chance,thinking about learning the facts because understanding the ideas and ***mask*** gives the student a chance to know the subject,the ideas and concepts before thinking about learning the facts because understanding the ideas and ***mask*** gives the student a chance to know the subject
1001604.txt,clearily,clearly,and cant learn the facts ***mask*** understanding the study in steps,the student would get struggled and cant learn the facts ***mask*** understanding the study in steps helps a lot because it,the study with out understanding the student would get struggled and cant learn the facts ***mask*** understanding the study in steps helps a lot because it avoids all the mistakes that
1001604.txt,cocnepts,concepts,students to understand ideas and ***mask*** than it is for them,it is more important for students to understand ideas and ***mask*** than it is for them to learn i agree with,it is more important for students to understand ideas and ***mask*** than it is for them to learn i agree with this because it is
1001604.txt,breif,brief,to give the student a ***mask*** exlanation of how it done,understanding it schools are located to give the student a ***mask*** exlanation of how it done and how to understand the,learn the facts easily after understanding it schools are located to give the student a ***mask*** exlanation of how it done and how to understand the ideas before analysing them and
1001604.txt,exlanation,explanation,give the student a breif ***mask*** of how it done and,it schools are located to give the student a breif ***mask*** of how it done and how to understand the ideas,the facts easily after understanding it schools are located to give the student a breif ***mask*** of how it done and how to understand the ideas before analysing them and learning
1002932.txt,illustrat,illustrate,to try new things to ***mask*** this let me tell you,mentain you success you have to try new things to ***mask*** this let me tell you about my friend she was,so the best way to mentain you success you have to try new things to ***mask*** this let me tell you about my friend she was a successful maneger of acompany
1002932.txt,ambicous,ambitious,how much he is an ***mask*** person clearly if you want,was a hard woker and how much he is an ***mask*** person clearly if you want to be a successful forever,saw how much her partnar was a hard woker and how much he is an ***mask*** person clearly if you want to be a successful forever you have to keep trying
1002932.txt,woker,worker,her partnar was a hard ***mask*** and how much he is,the director saw how much her partnar was a hard ***mask*** and how much he is an ambicous person clearly if,manger of the company becuse the director saw how much her partnar was a hard ***mask*** and how much he is an ambicous person clearly if you want to be a
1002932.txt,partnar,partner,maneger here director chose her ***mask*** who was working after noon,two years of being a maneger here director chose her ***mask*** who was working after noon and studying in the morning,to keep her postion after two years of being a maneger here director chose her ***mask*** who was working after noon and studying in the morning to be the new manger
1002932.txt,vaisor,visor,technican i was a super ***mask*** of the lab but i,i was a successful medical technican i was a super ***mask*** of the lab but i chose to come to the,my self in my country i was a successful medical technican i was a super ***mask*** of the lab but i chose to come to the usa to develop my self
1002932.txt,professer,professor,back i will a university ***mask*** rather that a medical technican,self that when i come back i will a university ***mask*** rather that a medical technican so the successful person does,the usa to develop my self that when i come back i will a university ***mask*** rather that a medical technican so the successful person does not agree with his posion
1002932.txt,mintain,maintain,do it in order to ***mask*** thier success and to develop,some day they have to do it in order to ***mask*** thier success and to develop thier self if you are,they will lose thier successful some day they have to do it in order to ***mask*** thier success and to develop thier self if you are a successful person that mean
1002932.txt,mentain,mantain,so the best way to ***mask*** you success you have to,will be better that you so the best way to ***mask*** you success you have to try new things to illustrat,you and some day they will be better that you so the best way to ***mask*** you success you have to try new things to illustrat this let me tell you
1002932.txt,maneger,manager,friend she was a successful ***mask*** of acompany but she did,me tell you about my friend she was a successful ***mask*** of acompany but she did not do pay any effort,things to illustrat this let me tell you about my friend she was a successful ***mask*** of acompany but she did not do pay any effort and did not try to
1005075.txt,gruop,group,than to travel with a ***mask*** of people you that do,and interesting to travel alone than to travel with a ***mask*** of people you that do know it is often suggested,while about how much exciting and interesting to travel alone than to travel with a ***mask*** of people you that do know it is often suggested that when you travel in
1005075.txt,forexample,for example,will have when travel alone ***mask*** last time when i went,interesting experience that any one will have when travel alone ***mask*** last time when i went to italy i had too,is the most exciting and interesting experience that any one will have when travel alone ***mask*** last time when i went to italy i had too much fun and it was
1005075.txt,tuor,tour,a group led by a ***mask*** guide you will have to,furthermore when you travel with a group led by a ***mask*** guide you will have to follow a fixed schedule as,spent not to be saved furthermore when you travel with a group led by a ***mask*** guide you will have to follow a fixed schedule as a result you will not
1005252.txt,etablished,established,has to stick to the ***mask*** schedule and nobody can make,group has means that anyone has to stick to the ***mask*** schedule and nobody can make changes to it nobody can,freedom each member of the group has means that anyone has to stick to the ***mask*** schedule and nobody can make changes to it nobody can make a decision on behalf
1005252.txt,entittled,entitled,a group of people is ***mask*** to a discount i do,worth because sometimes paying for a group of people is ***mask*** to a discount i do also agree that the best,the group travel is financially worth because sometimes paying for a group of people is ***mask*** to a discount i do also agree that the best travel is in a group
1005252.txt,touristics,touristic,time spent to search for ***mask*** sites the tour guide is,a group when it concerns time spent to search for ***mask*** sites the tour guide is easy and will economize you,the best travel is in a group when it concerns time spent to search for ***mask*** sites the tour guide is easy and will economize you a lot of time to
1005751.txt,diffierent,different,believe that cars will be ***mask*** from now maybe flying cars,and entertainment as well i believe that cars will be ***mask*** from now maybe flying cars or diving cars and maybe,go to work traveling construction and entertainment as well i believe that cars will be ***mask*** from now maybe flying cars or diving cars and maybe we will use our car
1005751.txt,opreating,operating,looking for another way for ***mask*** the car rather than oil,comfortable cars although scientist are looking for another way for ***mask*** the car rather than oil they are having now their,see more luxury econmic and comfortable cars although scientist are looking for another way for ***mask*** the car rather than oil they are having now their experiment on sun power and
1005751.txt,transportaion,transportation,the car in his daily ***mask*** althought the market for the,body can live without using the car in his daily ***mask*** althought the market for the cars has grown much more,daily life i guess no body can live without using the car in his daily ***mask*** althought the market for the cars has grown much more than before we can see
1005751.txt,hydrojen,hydrogen,experiment on sun power and ***mask*** and a lot of these,they are having now their experiment on sun power and ***mask*** and a lot of these experiment have been successed besides,the car rather than oil they are having now their experiment on sun power and ***mask*** and a lot of these experiment have been successed besides oil market is grown as
1005751.txt,econmic,economic,we can see more luxury ***mask*** and comfortable cars although scientist,grown much more than before we can see more luxury ***mask*** and comfortable cars although scientist are looking for another way,market for the cars has grown much more than before we can see more luxury ***mask*** and comfortable cars although scientist are looking for another way for opreating the car rather
1005751.txt,twenety,twenty,fewer cars in the next ***mask*** years cars are the most,do believe there will be fewer cars in the next ***mask*** years cars are the most efficient way of transportation because,i do believe there will be fewer cars in the next ***mask*** years cars are the most efficient way of transportation because it cheap fast enough
1005751.txt,successed,successes,of these experiment have been ***mask*** besides oil market is grown,and hydrojen and a lot of these experiment have been ***mask*** besides oil market is grown as well and there a,their experiment on sun power and hydrojen and a lot of these experiment have been ***mask*** besides oil market is grown as well and there a lot of reservation for oil
1005892.txt,rlise,raise,community even if they dont ***mask*** that each of them has,those is helping developing their community even if they dont ***mask*** that each of them has there way such as young,old people each part of those is helping developing their community even if they dont ***mask*** that each of them has there way such as young people help there community by
1005892.txt,engneer,engineer,he can graduate as an ***mask*** and bulid better roads or,help the community to develop he can graduate as an ***mask*** and bulid better roads or a doctor who can help,to have a job to help the community to develop he can graduate as an ***mask*** and bulid better roads or a doctor who can help pations to become healthy or
