Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
educal,educational,related to people form different ages or different social and ***mask*** backgrounds this people do not even think about helping their,EH JH AH K AH L,"['epochal', 'oedipal', 'ethical', 'educate', 'oracle', 'edible', 'etiquette', 'chuckle', 'jekyll', 'juggle']",['ducal'],"['oracle', 'chuckle', 'etiquette', 'jekyll', 'epochal', 'ethical', 'educate', 'ducal', 'juggle', 'edible', 'oedipal']","['ethical', 'educate', 'etiquette', 'edible', 'oedipal', 'epochal', 'jekyll', 'chuckle', 'juggle', 'oracle']",['ducal'],"['ethical', 'educate', 'etiquette', 'edible', 'oedipal', 'epochal', 'jekyll', 'chuckle', 'ducal', 'juggle', 'oracle']"
mediadesign,media design,i have to say this at the moment i studying ***mask*** in berlin for that reason i have to learn and,M IY D IY AH D EH Z IH G N,[],['mediadesign'],['mediadesign'],[],['mediadesign'],['mediadesign']
scaple,scalpel,high chance of infections doing it the old way with ***mask*** blade incisions and sutures afterwards is taking a little longer,S K EY P AH L,"['staple', 'scruple', 'stapler', 'scuffle', 'steeple', 'stable', 'scuttle', 'skittle', 'spatial', 'spacial']","['staple', 'scape', 'scale']","['spatial', 'stapler', 'scruple', 'scuffle', 'skittle', 'scuttle', 'scape', 'scale', 'staple', 'spacial', 'steeple', 'stable']","['stapler', 'staple', 'steeple', 'stable', 'spacial', 'skittle', 'spatial', 'scruple', 'scuffle', 'scuttle']","['staple', 'scale', 'scape']","['stapler', 'staple', 'steeple', 'stable', 'scale', 'spacial', 'skittle', 'spatial', 'scruple', 'scuffle', 'scape', 'scuttle']"
performes,performs ,want to give you an example let say a veterinarian ***mask*** surgery on a dog the way with scapel blade and,P ER F AO R M Z,"['performs', 'performed', 'performer', 'perform', 'performers', 'reforms', 'reforms', 'performing', 'perforce', 'informs']","['performer', 'performers', 'performs', 'performed']","['reforms', 'performers', 'performer', 'perforce', 'performed', 'performing', 'performs', 'perform', 'informs']","['performs', 'performed', 'performing', 'perform', 'performer', 'performers', 'perforce', 'reforms', 'informs']","['performs', 'performed', 'performer', 'performers']","['performs', 'performed', 'performing', 'perform', 'performer', 'performers', 'perforce', 'reforms', 'informs']"
accomlishing,accomplishing,but you also have to trust your own ways of ***mask*** things especially if you know how to manifest my opinion,AH K AA M L IH SH IH NG,"['accomplishing', 'abolishing', 'accomplishes']",['accomplishing'],"['accomplishing', 'abolishing', 'accomplishes']","['accomplishing', 'accomplishes', 'abolishing']",['accomplishing'],"['accomplishing', 'accomplishes', 'abolishing']"
afterall,after all,by doing it the right way you will do well ***mask*** and to stress my disagreement with the above statement i,AE F T ER AA L,"['atoll', 'afterthought', 'aftershock', 'afterglow', 'lateral', 'rafters', 'afterlife', 'after']",['after all'],"['afterthought', 'rafters', 'lateral', 'aftershock', 'atoll', 'afterlife', 'after all', 'afterglow', 'after']","['afterthought', 'aftershock', 'afterglow', 'after', 'afterlife', 'lateral', 'atoll', 'rafters']",['after all'],"['after all', 'afterglow', 'aftershock', 'afterthought', 'after', 'rafters', 'afterlife', 'atoll', 'lateral']"
scapel,scalpel,a veterinarian performes surgery on a dog the way with ***mask*** blade and other devices it has always been like this,S K AE P AH L,"['snapple', 'scrabble', 'scruple', 'scuffle', 'scalpel', 'spackle', 'skittle', 'scuttle', 'staple', 'steeple']","['scalpel', 'scape', 'capel']","['scruple', 'scuffle', 'snapple', 'spackle', 'skittle', 'scape', 'capel', 'scalpel', 'scrabble', 'staple', 'steeple', 'scuttle']","['scalpel', 'snapple', 'staple', 'skittle', 'spackle', 'scruple', 'scuffle', 'scrabble', 'scuttle', 'steeple']","['scalpel', 'capel', 'scape']","['scalpel', 'snapple', 'staple', 'skittle', 'spackle', 'capel', 'scruple', 'scuffle', 'scuttle', 'scape', 'scrabble', 'steeple']"
communitie,communities,orchestra they play music without getting money but the whole ***mask*** has its part of it happy people and street festivals,K AH M Y UW N IH T IY,"['community', 'community', 'communities', 'immunity', 'communities', 'communing', 'impunity']",['communities'],"['immunity', 'community', 'communities', 'communing', 'impunity']","['community', 'communities', 'communing', 'immunity', 'impunity']",['communities'],"['community', 'communities', 'communing', 'immunity', 'impunity']"
sportevent,sport event,communities get this would be much to expensive take an ***mask*** its not able to make it a good one if,S P AO R T IH V EH N T,[],['sportevent'],['sportevent'],[],['sportevent'],['sportevent']
streetworker,streetwalker,follow communities opinion by having it a save area the ***mask*** also help as a big part of the system there,S T R IY T W ER K ER,['steelworker'],['steelworker'],['steelworker'],['steelworker'],['steelworker'],['steelworker']
exsample,example,are also many other things were young people help for ***mask*** orchestra they play music without getting money but the whole,IH K S AE M P AH L,"['example', 'sampled', 'sample']",['example'],"['sampled', 'example', 'sample']","['example', 'sample', 'sampled']",['example'],"['example', 'sample', 'sampled']"
dwhich,which,jobs in the communities which are not really paid an ***mask*** are done from young people for example streetworkers or some,D AH W IH CH,"['twitch', 'bewitch', 'dewitt', 'switch', 'switcher', 'dovish', 'which', 'dulling', 'duckies', 'dunning']",['which'],"['dunning', 'dewitt', 'switcher', 'switch', 'dovish', 'duckies', 'bewitch', 'dulling', 'which', 'twitch']","['which', 'bewitch', 'dovish', 'dunning', 'switcher', 'switch', 'dewitt', 'dulling', 'twitch', 'duckies']",['which'],"['which', 'bewitch', 'dovish', 'dunning', 'switcher', 'switch', 'dewitt', 'dulling', 'twitch', 'duckies']"
streetworkers,streetwalkers,paid an dwhich are done from young people for example ***mask*** or some people who work in youthclubs they do a,S T R IY T W ER K ER Z,['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers']
youthclubs,youth clubs,people for example streetworkers or some people who work in ***mask*** they do a lot of work for kids which do,Y UW TH K L AH B Z,[],['youthclubs'],['youthclubs'],[],['youthclubs'],['youthclubs']
enitrely,entirely,the young person would probably call the older persons life ***mask*** boring the only difference is that most of the young,EH N IH T R AH L IY,"['entropy', 'entrails', 'centrally', 'literally', 'neutrally', 'mentally']",['entirely'],"['entirely', 'entropy', 'mentally', 'centrally', 'literally', 'neutrally', 'entrails']","['literally', 'mentally', 'entrails', 'centrally', 'entropy', 'neutrally']",['entirely'],"['entirely', 'literally', 'mentally', 'entrails', 'centrally', 'entropy', 'neutrally']"
economised,economise,want to miss as our relationships get more and more ***mask*** it is very important to remember that not everybody is,IH K AA N AH M AY Z D,"['economize', 'economizing', 'economize', 'economies', 'minimized']",['economise'],"['economies', 'economize', 'economise', 'minimized', 'economizing']","['minimized', 'economies', 'economize', 'economizing']",['economise'],"['minimized', 'economies', 'economizing', 'economize', 'economise']"
childreen,children,situations young people need time to play when they are ***mask*** they have specific problems while becoming adults and there is,CH AY L D R IY N,"['children', 'childcare']",['children'],"['childcare', 'children']","['children', 'childcare']",['children'],"['children', 'childcare']"
everzbody,everybody,help elderly to summarise i agree with the statement because ***mask*** could need help,EH V ER Z B AA D IY,['everybody'],['everybody'],['everybody'],['everybody'],['everybody'],['everybody']
luxus,luxury,the so called western world fifty years ago cars were ***mask*** but today a car bellongs to life standard only few,L AH K S AH S,"['lexus', 'luckless', 'lexis', 'nexus', 'texas', 'success', 'luxor', 'lacrosse', 'likeness', 'axis']","['lupus', 'lexus', 'fluxus']","['lexis', 'success', 'lupus', 'fluxus', 'lacrosse', 'nexus', 'texas', 'lexus', 'luckless', 'axis', 'luxor', 'likeness']","['luckless', 'luxor', 'success', 'lexis', 'texas', 'lexus', 'axis', 'likeness', 'lacrosse', 'nexus']","['lexus', 'lupus', 'fluxus']","['luckless', 'luxor', 'success', 'lexis', 'texas', 'lexus', 'axis', 'likeness', 'lupus', 'lacrosse', 'nexus', 'fluxus']"
bellongs,belongs,fifty years ago cars were luxus but today a car ***mask*** to life standard only few families have no car and,B EH L AO NG Z,"['belongs', 'belonged', 'billings', 'bearings', 'belong', 'bellows', 'bylaws', 'belling', 'belize', 'bellies']",['belongs'],"['belongs', 'billings', 'bearings', 'bylaws', 'belling', 'belong', 'bellies', 'bellows', 'belonged', 'belize']","['belongs', 'belong', 'belonged', 'bylaws', 'belling', 'bellies', 'bellows', 'bearings', 'billings', 'belize']",['belongs'],"['belongs', 'belong', 'belonged', 'bylaws', 'belling', 'bellies', 'bellows', 'bearings', 'billings', 'belize']"
challengend,challenged,people are most likely more risky and like to be ***mask*** but this is why they can easily fail for instance,CH AE L AH N JH EH N D,['challenged'],['challenged'],['challenged'],['challenged'],['challenged'],['challenged']
coorperations,cooperation,this and think of the economic plans of the automobile ***mask*** to steadily increase the selling numbers by introducing their products,K OW AO R P ER EY SH AH N Z,"['corporations', 'corporation', 'corp']","['corporations', 'cooperation']","['corporations', 'corporation', 'corp', 'cooperation']","['corporations', 'corporation', 'corp']","['corporations', 'cooperation']","['corporations', 'corporation', 'corp', 'cooperation']"
acess,access,with his audio entertainment center the meanwhile usual builtin internet ***mask*** than waiting at a freezy train station if you take,EY S AH S,"['isis', 'races', 'anus', 'amos', 'rhesus', 'ices', 'aces', 'asses', 'assess', 'versus']","['access', 'cess', 'aces', 'amess', 'acers']","['access', 'amos', 'asses', 'cess', 'aces', 'ices', 'amess', 'acers', 'versus', 'rhesus', 'races', 'assess', 'isis', 'anus']","['anus', 'rhesus', 'versus', 'asses', 'races', 'aces', 'amos', 'ices', 'isis', 'assess']","['access', 'aces', 'cess', 'acers', 'amess']","['access', 'anus', 'rhesus', 'versus', 'asses', 'races', 'aces', 'cess', 'amos', 'acers', 'ices', 'isis', 'amess', 'assess']"
lifstyle,lifestyle,to recognise that mankind is heading for a more convinient ***mask*** this includes having more individuality for your own so what,L IH F S T AY L,"['lifestyle', 'lifestyles', 'freestyle']",['lifestyle'],"['lifestyle', 'freestyle', 'lifestyles']","['lifestyle', 'lifestyles', 'freestyle']",['lifestyle'],"['lifestyle', 'lifestyles', 'freestyle']"
