Filename,Error,Correction,Context_5,Context_10,Context_15
1000025.txt,experence,experience,the same time my daily ***mask*** is a good example of,many sports are introduced at the same time my daily ***mask*** is a good example of this i went to ski,upcoming of beijing olympic 2008 many sports are introduced at the same time my daily ***mask*** is a good example of this i went to ski last month in vancouver when
1000025.txt,attand,attend,sports for young people to ***mask*** today however at the same,therefore there are so many sports for young people to ***mask*** today however at the same time there are so few,unique sports in the world therefore there are so many sports for young people to ***mask*** today however at the same time there are so few sports for old people to
1000025.txt,comptetive,competive,from the society in this ***mask*** society all the parents in,young people have less pressure from the society in this ***mask*** society all the parents in the world intend to keep,than older people do besides young people have less pressure from the society in this ***mask*** society all the parents in the world intend to keep their children from danger on
1000025.txt,peolpe,people,enjoy life more than old ***mask*** do because young people intend,this turning point young people enjoy life more than old ***mask*** do because young people intend to do a varity of,standing on the crossroad in this turning point young people enjoy life more than old ***mask*** do because young people intend to do a varity of sports experience less pressure from
1000025.txt,varity,variety,people intend to do a ***mask*** of sports experience less pressure,old peolpe do because young people intend to do a ***mask*** of sports experience less pressure from the society and obtain,people enjoy life more than old peolpe do because young people intend to do a ***mask*** of sports experience less pressure from the society and obtain the tendency to try something
1000599.txt,teps,tips,they can save money for ***mask*** a guide which make people,follow the guide that way they can save money for ***mask*** a guide which make people lose the ability of figure,so they do need to follow the guide that way they can save money for ***mask*** a guide which make people lose the ability of figure out something a guide who
1000599.txt,amont,among,travel with a group since ***mask*** of people in your group,or he usually if you travel with a group since ***mask*** of people in your group every boday can give information,do have to pay her or he usually if you travel with a group since ***mask*** of people in your group every boday can give information about what they know and
1000599.txt,familier,familiar,those areas he or she ***mask*** about charge big number of,money for give informations for those areas he or she ***mask*** about charge big number of money for their guide sometimes,guide a guide which make money for give informations for those areas he or she ***mask*** about charge big number of money for their guide sometimes the guide may is your
1000599.txt,unconfertable,unconfortable,you that will make you ***mask*** while the guide who you,guide is a stranger for you that will make you ***mask*** while the guide who you do like you guide the,during the travel if the guide is a stranger for you that will make you ***mask*** while the guide who you do like you guide the place you may not like
1000599.txt,boday,body,people in your group every ***mask*** can give information about what,a group since amont of people in your group every ***mask*** can give information about what they know and where they,usually if you travel with a group since amont of people in your group every ***mask*** can give information about what they know and where they want to travel so they
1001566.txt,piont,point,i do not agree that ***mask***,will lose the market so i do not agree that ***mask***,not trust you again you will lose the market so i do not agree that ***mask***
1001566.txt,monay,money,advertisment we spend time and ***mask*** then we buy the product,products is not better as advertisment we spend time and ***mask*** then we buy the product is not we want what,advertisement but if the real products is not better as advertisment we spend time and ***mask*** then we buy the product is not we want what will happend next we do
1001566.txt,newpaper,newspaper,they really are first tv ***mask*** internet and so on more,products seem much better than they really are first tv ***mask*** internet and so on more and more come into our,not agree most advertisments make products seem much better than they really are first tv ***mask*** internet and so on more and more come into our life so we can get
1001566.txt,producter,producer,chance third that publisher or ***mask*** give people advertisements are not,is mean you lost a chance third that publisher or ***mask*** give people advertisements are not real products people are not,what you can do it is mean you lost a chance third that publisher or ***mask*** give people advertisements are not real products people are not trust you again you will
1001566.txt,advertisments,advertisements,i do not agree most ***mask*** make products seem much better,i do not agree most ***mask*** make products seem much better than they really are,i do not agree most ***mask*** make products seem much better than they really are first tv newpaper internet and
1003222.txt,famouse,famous,on the advertisement so a ***mask*** brand is much expensive than,something has a magical power on the advertisement so a ***mask*** brand is much expensive than a regular brand the reality,calcium is being discribed as something has a magical power on the advertisement so a ***mask*** brand is much expensive than a regular brand the reality is if you only take
1003222.txt,probrably,probably,on the advertisement so they ***mask*** will reduce the money they,spend a lot of money on the advertisement so they ***mask*** will reduce the money they spend on the product in,is quite expensive some companies spend a lot of money on the advertisement so they ***mask*** will reduce the money they spend on the product in some place the company put
1003222.txt,eldes,elders,consume by the women and ***mask*** and they wish to have,misunderstood by customer it usually consume by the women and ***mask*** and they wish to have stronger bones however the calcium,for example is often being misunderstood by customer it usually consume by the women and ***mask*** and they wish to have stronger bones however the calcium is being discribed as something
1003222.txt,prodcuts,products,to try and buy the ***mask*** when we look at the,attracted they will most likely to try and buy the ***mask*** when we look at the advertisement on the cosmic products,eyes after customers are been attracted they will most likely to try and buy the ***mask*** when we look at the advertisement on the cosmic products we will get an idea
1003222.txt,discribed,described,however the calcium is being ***mask*** as something has a magical,wish to have stronger bones however the calcium is being ***mask*** as something has a magical power on the advertisement so,women and eldes and they wish to have stronger bones however the calcium is being ***mask*** as something has a magical power on the advertisement so a famouse brand is much
1004306.txt,oxicide,oxide,such as sulfur and nitrigen ***mask*** etc when the pollution becomes,large amount of toxic gases such as sulfur and nitrigen ***mask*** etc when the pollution becomes more and more severe the,the exhaust of cars contains large amount of toxic gases such as sulfur and nitrigen ***mask*** etc when the pollution becomes more and more severe the government will take measure to
1004306.txt,wittness,witness,looms larger nowadays recent years ***mask*** the skyroketing the crude oil,to begin with energy shortage looms larger nowadays recent years ***mask*** the skyroketing the crude oil prices is an example to,there will be fewer cars to begin with energy shortage looms larger nowadays recent years ***mask*** the skyroketing the crude oil prices is an example to illustrate the demand for oil
1004306.txt,nitrigen,nitrogen,gases such as sulfur and ***mask*** oxicide etc when the pollution,contains large amount of toxic gases such as sulfur and ***mask*** oxicide etc when the pollution becomes more and more severe,environment the exhaust of cars contains large amount of toxic gases such as sulfur and ***mask*** oxicide etc when the pollution becomes more and more severe the government will take measure
1004306.txt,skyroketing,skyrocketing,nowadays recent years wittness the ***mask*** the crude oil prices is,with energy shortage looms larger nowadays recent years wittness the ***mask*** the crude oil prices is an example to illustrate the,be fewer cars to begin with energy shortage looms larger nowadays recent years wittness the ***mask*** the crude oil prices is an example to illustrate the demand for oil far excesses
1004306.txt,accomodating,accommodating,in addition the room for ***mask*** more cars is very limited,buy cars and use cars in addition the room for ***mask*** more cars is very limited today we already feel very,will have less incentive to buy cars and use cars in addition the room for ***mask*** more cars is very limited today we already feel very crowded on roads and parking
1004306.txt,transportations,transportation,a car probably using public ***mask*** is a more economical choice,find it expensive to drive a car probably using public ***mask*** is a more economical choice to travel to school to,fuels drastically so people will find it expensive to drive a car probably using public ***mask*** is a more economical choice to travel to school to office and so on in
1004652.txt,encouters,encounters,and act when a person ***mask*** a big difficulty on a,ways in which people think and act when a person ***mask*** a big difficulty on a subject he may obtain some,thinking ability and raise the ways in which people think and act when a person ***mask*** a big difficulty on a subject he may obtain some inspiration one day through focusing
1004652.txt,knowlege,knowledge,us to grasp many useful ***mask*** of different subjects and keep,the current society situation requires us to grasp many useful ***mask*** of different subjects and keep to refreshing them second people,normally in this society so the current society situation requires us to grasp many useful ***mask*** of different subjects and keep to refreshing them second people that own broad knowledges always
1004652.txt,rearchers,researchers,on the specific subject but ***mask*** still learn other subjects that,researchers should pay their attention on the specific subject but ***mask*** still learn other subjects that are useful in their lives,on various subjects of course researchers should pay their attention on the specific subject but ***mask*** still learn other subjects that are useful in their lives in all comparing the advantages
1004652.txt,knowledges,knowledge,second people that own broad ***mask*** always look smart because they,and keep to refreshing them second people that own broad ***mask*** always look smart because they may be enlightened by another,useful knowlege of different subjects and keep to refreshing them second people that own broad ***mask*** always look smart because they may be enlightened by another subject knowledge holding different knowledges
1004862.txt,natrual,natural,messed up because it is ***mask*** i were born this way,the table like i totally messed up because it is ***mask*** i were born this way people ca forced me to,but once it goes on the table like i totally messed up because it is ***mask*** i were born this way people ca forced me to do it because that does
1004862.txt,lifeeasier,life easier,is smart enough to make ***mask*** it just i like it,smart guys who knows everything is smart enough to make ***mask*** it just i like it,however i not saying those smart guys who knows everything is smart enough to make ***mask*** it just i like it
1004862.txt,tenis,tennis,i really good at playing ***mask*** but once it goes on,food with for example maybe i really good at playing ***mask*** but once it goes on the table like i totally,we good with and not food with for example maybe i really good at playing ***mask*** but once it goes on the table like i totally messed up because it is
1005142.txt,effecient,efficient,learning is more useful and ***mask*** than just understand the concepts,facts is more important because learning is more useful and ***mask*** than just understand the concepts to learn the facts is,why i think to learn facts is more important because learning is more useful and ***mask*** than just understand the concepts to learn the facts is taking a deeper step to
1005142.txt,condier,consider,all correct only if we ***mask*** in an ideally situation which,motion of a ball are all correct only if we ***mask*** in an ideally situation which is no friction and no,the energy theory in the motion of a ball are all correct only if we ***mask*** in an ideally situation which is no friction and no air resisitance however these are
1005142.txt,learnig,learning,happen how it happen by ***mask*** a fact we can discover,everything around us why it happen how it happen by ***mask*** a fact we can discover many other interesting and useful,deeper step to better understand everything around us why it happen how it happen by ***mask*** a fact we can discover many other interesting and useful imformations and facts which we
1005142.txt,consevation,conservation,of the objects and the ***mask*** of the energy theory in,for example the hooke law of the objects and the ***mask*** of the energy theory in the motion of a ball,ture in the real life for example the hooke law of the objects and the ***mask*** of the energy theory in the motion of a ball are all correct only if
1005142.txt,resisitance,resistance,no friction and no air ***mask*** however these are not ture,an ideally situation which is no friction and no air ***mask*** however these are not ture in the real life we,only if we condier in an ideally situation which is no friction and no air ***mask*** however these are not ture in the real life we live in a world which
1005142.txt,imoportant,important,statement which it is more ***mask*** for students to understand ideas,i am disagree with the statement which it is more ***mask*** for students to understand ideas and concepts than it is,i am disagree with the statement which it is more ***mask*** for students to understand ideas and concepts than it is for them to learn
1005142.txt,scientisits,scientists,almost everywhere so when the ***mask*** build up the airplane or,a world which has friction almost everywhere so when the ***mask*** build up the airplane or other machines they have to,real life we live in a world which has friction almost everywhere so when the ***mask*** build up the airplane or other machines they have to obey the facts which occur
1005142.txt,imformations,informations,many other interesting and useful ***mask*** and facts which we do,a fact we can discover many other interesting and useful ***mask*** and facts which we do not know before to improve,how it happen by learnig a fact we can discover many other interesting and useful ***mask*** and facts which we do not know before to improve our knowledge level about the
1005142.txt,surounding,surrounding,living in a realistic life ***mask*** by realistic people animals and,first of all people are living in a realistic life ***mask*** by realistic people animals and environment all the things happen,them to learn the facts first of all people are living in a realistic life ***mask*** by realistic people animals and environment all the things happen everyday which we can see
