Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
experence,experience,upcoming of beijing olympic 2008 many sports are introduced at the same time my daily ***mask*** is a good example of this i went to ski last month in vancouver when,EH K S P EH R AH N S,[],['experience'],['experience'],[],['experience'],['experience']
attand,attend,unique sports in the world therefore there are so many sports for young people to ***mask*** today however at the same time there are so few sports for old people to,AH T AE N D,"['attend', 'attained', 'attuned', 'stand', 'attainder', 'strand', 'stander', 'tend', 'append', 'amend']",['attend'],"['strand', 'stander', 'append', 'attainder', 'tend', 'attained', 'amend', 'attuned', 'attend', 'stand']","['attend', 'stander', 'stand', 'attainder', 'tend', 'attuned', 'amend', 'attained', 'append', 'strand']",['attend'],"['attend', 'stander', 'stand', 'attainder', 'tend', 'attuned', 'amend', 'attained', 'append', 'strand']"
comptetive,competive,than older people do besides young people have less pressure from the society in this ***mask*** society all the parents in the world intend to keep their children from danger on,K AA M P T AH T IH V,"['competitive', 'competent', 'competence']",['competitive'],"['competent', 'competitive', 'competence']","['competitive', 'competent', 'competence']",['competitive'],"['competitive', 'competent', 'competence']"
peolpe,people,standing on the crossroad in this turning point young people enjoy life more than old ***mask*** do because young people intend to do a varity of sports experience less pressure from,P IY OW L P IY,"['parolee', 'parolees', 'poultry']",['people'],"['parolees', 'people', 'parolee', 'poultry']","['poultry', 'parolees', 'parolee']",['people'],"['people', 'poultry', 'parolees', 'parolee']"
varity,variety,people enjoy life more than old peolpe do because young people intend to do a ***mask*** of sports experience less pressure from the society and obtain the tendency to try something,V EH R IH T IY,"['verity', 'verity', 'charity', 'rarity', 'verdi', 'vanity', 'parity', 'rarity', 'merits', 'levity']","['verity', 'parity', 'variety', 'rarity', 'varsity', 'vanity']","['verity', 'parity', 'variety', 'rarity', 'verdi', 'levity', 'varsity', 'vanity', 'charity', 'merits']","['verity', 'charity', 'rarity', 'merits', 'parity', 'vanity', 'verdi', 'levity']","['variety', 'verity', 'varsity', 'rarity', 'parity', 'vanity']","['variety', 'verity', 'varsity', 'charity', 'rarity', 'merits', 'parity', 'vanity', 'verdi', 'levity']"
teps,tips,so they do need to follow the guide that way they can save money for ***mask*** a guide which make people lose the ability of figure out something a guide who,T EH P S,"['taps', 'tapes', 'tips', 'types', 'reps', 'tops', 'tex', 'techs', 'tense', 'traps']","['peps', 'teas', 'meps', 'taps', 'eps', 'tups', 'tps', 'tepe', 'tens', 'steps', 'tess', 'reps', 'tnps', 'tips', 'tes', 'temps', 'tops', 'tees', 'trps', 'teds', 'tecs']","['tess', 'steps', 'reps', 'peps', 'tnps', 'teas', 'tips', 'meps', 'taps', 'types', 'eps', 'tes', 'tups', 'tps', 'temps', 'tops', 'techs', 'traps', 'tapes', 'tees', 'tepe', 'tens', 'tex', 'trps', 'tense', 'teds', 'tecs']","['tips', 'types', 'tex', 'techs', 'traps', 'tapes', 'reps', 'taps', 'tops', 'tense']","['meps', 'steps', 'tps', 'tips', 'teas', 'tepe', 'tes', 'tecs', 'tess', 'tees', 'teds', 'trps', 'reps', 'tnps', 'taps', 'tups', 'eps', 'peps', 'tops', 'temps', 'tens']","['meps', 'steps', 'tps', 'tips', 'teas', 'types', 'tex', 'techs', 'tepe', 'tes', 'tecs', 'traps', 'tapes', 'tess', 'tees', 'teds', 'trps', 'reps', 'tnps', 'taps', 'tups', 'eps', 'peps', 'tops', 'temps', 'tense', 'tens']"
amont,among,do have to pay her or he usually if you travel with a group since ***mask*** of people in your group every boday can give information about what they know and,AH M AA N T,"['amount', 'vermont', 'amend', 'monde', 'mont', 'lamont', 'amman', 'ament', 'meant', 'mint']","['amount', 'lamont', 'mont', 'amon', 'among']","['monde', 'amount', 'lamont', 'mont', 'vermont', 'amman', 'amon', 'amend', 'meant', 'mint', 'among', 'ament']","['amount', 'ament', 'meant', 'amman', 'lamont', 'mint', 'mont', 'monde', 'vermont', 'amend']","['amount', 'among', 'amon', 'lamont', 'mont']","['amount', 'among', 'amon', 'ament', 'meant', 'amman', 'lamont', 'mint', 'mont', 'monde', 'vermont', 'amend']"
familier,familiar,guide a guide which make money for give informations for those areas he or she ***mask*** about charge big number of money for their guide sometimes the guide may is your,F AE M AH L IH R,"['family', 'families', 'cavalier', 'hamelin']","['familiar', 'families']","['hamelin', 'family', 'familiar', 'cavalier', 'families']","['family', 'hamelin', 'families', 'cavalier']","['familiar', 'families']","['familiar', 'family', 'hamelin', 'families', 'cavalier']"
unconfertable,unconfortable,during the travel if the guide is a stranger for you that will make you ***mask*** while the guide who you do like you guide the place you may not like,AH N K AH N F ER T AH B AH L,['uncomfortable'],['uncomfortable'],['uncomfortable'],['uncomfortable'],['uncomfortable'],['uncomfortable']
boday,body,usually if you travel with a group since amont of people in your group every ***mask*** can give information about what they know and where they want to travel so they,B AA D EY,"['body', 'bawdy', 'buddy', 'bari', 'birthday', 'biddy', 'bobby', 'bobbi', 'bobbie', 'birdie']","['boddy', 'today', 'body']","['bari', 'boddy', 'bobby', 'bobbie', 'body', 'buddy', 'bobbi', 'birdie', 'bawdy', 'today', 'biddy', 'birthday']","['body', 'birdie', 'buddy', 'birthday', 'bobbi', 'bobby', 'bawdy', 'biddy', 'bari', 'bobbie']","['body', 'today', 'boddy']","['body', 'birdie', 'buddy', 'birthday', 'today', 'bobbi', 'bobby', 'bawdy', 'biddy', 'boddy', 'bari', 'bobbie']"
