Filename,Error,Correction,Context_5,Context_10,Context_15
1000168.txt,educal,educational,ages or different social and ***mask*** backgrounds this people do not,related to people form different ages or different social and ***mask*** backgrounds this people do not even think about helping their,not much connected with or related to people form different ages or different social and ***mask*** backgrounds this people do not even think about helping their communities but that is not
1000617.txt,mediadesign,media design,at the moment i studying ***mask*** in berlin for that reason,i have to say this at the moment i studying ***mask*** in berlin for that reason i have to learn and,it absolutly ok but maybe i have to say this at the moment i studying ***mask*** in berlin for that reason i have to learn and develop ways to make products
1003066.txt,scaple,scalpel,it the old way with ***mask*** blade incisions and sutures afterwards,high chance of infections doing it the old way with ***mask*** blade incisions and sutures afterwards is taking a little longer,there is also a very high chance of infections doing it the old way with ***mask*** blade incisions and sutures afterwards is taking a little longer of course but is more
1003066.txt,performes,performs ,example let say a veterinarian ***mask*** surgery on a dog the,want to give you an example let say a veterinarian ***mask*** surgery on a dog the way with scapel blade and,to manifest my opinion i want to give you an example let say a veterinarian ***mask*** surgery on a dog the way with scapel blade and other devices it has always
1003066.txt,accomlishing,accomplishing,trust your own ways of ***mask*** things especially if you know,but you also have to trust your own ways of ***mask*** things especially if you know how to manifest my opinion,and technologies are rising steadily but you also have to trust your own ways of ***mask*** things especially if you know how to manifest my opinion i want to give you
1003066.txt,afterall,after all,way you will do well ***mask*** and to stress my disagreement,by doing it the right way you will do well ***mask*** and to stress my disagreement with the above statement i,it the right way and by doing it the right way you will do well ***mask*** and to stress my disagreement with the above statement i going to write my favorite
1003066.txt,scapel,scalpel,a dog the way with ***mask*** blade and other devices it,a veterinarian performes surgery on a dog the way with ***mask*** blade and other devices it has always been like this,you an example let say a veterinarian performes surgery on a dog the way with ***mask*** blade and other devices it has always been like this and the successful outcome and
100416.txt,communitie,communities,getting money but the whole ***mask*** has its part of it,orchestra they play music without getting money but the whole ***mask*** has its part of it happy people and street festivals,young people help for exsample orchestra they play music without getting money but the whole ***mask*** has its part of it happy people and street festivals what about emergency there are
100416.txt,sportevent,sport event,much to expensive take an ***mask*** its not able to make,communities get this would be much to expensive take an ***mask*** its not able to make it a good one if,like emergencies employed by the communities get this would be much to expensive take an ***mask*** its not able to make it a good one if you do have people outside
100416.txt,streetworker,streetwalker,it a save area the ***mask*** also help as a big,follow communities opinion by having it a save area the ***mask*** also help as a big part of the system there,the police who has to follow communities opinion by having it a save area the ***mask*** also help as a big part of the system there are also many other things
100416.txt,exsample,example,were young people help for ***mask*** orchestra they play music without,are also many other things were young people help for ***mask*** orchestra they play music without getting money but the whole,part of the system there are also many other things were young people help for ***mask*** orchestra they play music without getting money but the whole communitie has its part of
100416.txt,dwhich,which,are not really paid an ***mask*** are done from young people,jobs in the communities which are not really paid an ***mask*** are done from young people for example streetworkers or some,there communities there are many jobs in the communities which are not really paid an ***mask*** are done from young people for example streetworkers or some people who work in youthclubs
100416.txt,streetworkers,streetwalkers,from young people for example ***mask*** or some people who work,paid an dwhich are done from young people for example ***mask*** or some people who work in youthclubs they do a,communities which are not really paid an dwhich are done from young people for example ***mask*** or some people who work in youthclubs they do a lot of work for kids
100416.txt,youthclubs,youth clubs,some people who work in ***mask*** they do a lot of,people for example streetworkers or some people who work in ***mask*** they do a lot of work for kids which do,dwhich are done from young people for example streetworkers or some people who work in ***mask*** they do a lot of work for kids which do not know how to spend
1006488.txt,enitrely,entirely,call the older persons life ***mask*** boring the only difference is,the young person would probably call the older persons life ***mask*** boring the only difference is that most of the young,stressful on the other hand the young person would probably call the older persons life ***mask*** boring the only difference is that most of the young people enjoy their lives at
1006535.txt,economised,economise,relationships get more and more ***mask*** it is very important to,want to miss as our relationships get more and more ***mask*** it is very important to remember that not everybody is,other values we do not want to miss as our relationships get more and more ***mask*** it is very important to remember that not everybody is good enough to get money
1006535.txt,childreen,children,to play when they are ***mask*** they have specific problems while,situations young people need time to play when they are ***mask*** they have specific problems while becoming adults and there is,restrictions in different places and situations young people need time to play when they are ***mask*** they have specific problems while becoming adults and there is more and more pressure on
1006535.txt,everzbody,everybody,agree with the statement because ***mask*** could need help,help elderly to summarise i agree with the statement because ***mask*** could need help,contract in germany younger people help elderly to summarise i agree with the statement because ***mask*** could need help
1008399.txt,luxus,luxury,fifty years ago cars were ***mask*** but today a car bellongs,the so called western world fifty years ago cars were ***mask*** but today a car bellongs to life standard only few,what is the situation in the so called western world fifty years ago cars were ***mask*** but today a car bellongs to life standard only few families have no car and
1008399.txt,bellongs,belongs,luxus but today a car ***mask*** to life standard only few,fifty years ago cars were luxus but today a car ***mask*** to life standard only few families have no car and,the so called western world fifty years ago cars were luxus but today a car ***mask*** to life standard only few families have no car and the production of cheap small
1008450.txt,challengend,challenged,risky and like to be ***mask*** but this is why they,people are most likely more risky and like to be ***mask*** but this is why they can easily fail for instance,as a risky person todays people are most likely more risky and like to be ***mask*** but this is why they can easily fail for instance i had a friend who
1010839.txt,coorperations,cooperation,economic plans of the automobile ***mask*** to steadily increase the selling,this and think of the economic plans of the automobile ***mask*** to steadily increase the selling numbers by introducing their products,train station if you take this and think of the economic plans of the automobile ***mask*** to steadily increase the selling numbers by introducing their products on new markets like china
1010839.txt,acess,access,the meanwhile usual builtin internet ***mask*** than waiting at a freezy,with his audio entertainment center the meanwhile usual builtin internet ***mask*** than waiting at a freezy train station if you take,wait in the traffic jam with his audio entertainment center the meanwhile usual builtin internet ***mask*** than waiting at a freezy train station if you take this and think of the
1010839.txt,lifstyle,lifestyle,heading for a more convinient ***mask*** this includes having more individuality,to recognise that mankind is heading for a more convinient ***mask*** this includes having more individuality for your own so what,last decades it is clearly to recognise that mankind is heading for a more convinient ***mask*** this includes having more individuality for your own so what does this mean then so
1010839.txt,builtin,building,entertainment center the meanwhile usual ***mask*** internet acess than waiting at,traffic jam with his audio entertainment center the meanwhile usual ***mask*** internet acess than waiting at a freezy train station if,drivers to wait in the traffic jam with his audio entertainment center the meanwhile usual ***mask*** internet acess than waiting at a freezy train station if you take this and think
1010839.txt,chineese,chinese,years think of all the ***mask*** people who still do have,reduce over the next 20 years think of all the ***mask*** people who still do have a car in their family,to believe the number will reduce over the next 20 years think of all the ***mask*** people who still do have a car in their family think of them getting to
1010839.txt,puplic,public,not that much as the ***mask*** transportation becomes more attractive with,number of cars may increase not that much as the ***mask*** transportation becomes more attractive with increasing traffic jams on the,that in big cities the number of cars may increase not that much as the ***mask*** transportation becomes more attractive with increasing traffic jams on the streets but it still seems
1011317.txt,hamrs,hairs,but in contrary even sometimes ***mask*** the skin if this would,that they show no effect but in contrary even sometimes ***mask*** the skin if this would be told in an advertisment,of human skin studies proved that they show no effect but in contrary even sometimes ***mask*** the skin if this would be told in an advertisment nobody would buy the cream
1011317.txt,exaample,example,magazines or something alike for ***mask*** computer magazines that test hardware,product is tested by independent magazines or something alike for ***mask*** computer magazines that test hardware and software so you can,this hidden characterisitcs almost every product is tested by independent magazines or something alike for ***mask*** computer magazines that test hardware and software so you can not rely on advertisments
1011317.txt,characterisitcs,characteristics,product to show this hidden ***mask*** almost every product is tested,hide some sides of the product to show this hidden ***mask*** almost every product is tested by independent magazines or something,better results so they always hide some sides of the product to show this hidden ***mask*** almost every product is tested by independent magazines or something alike for exaample computer magazines
1011317.txt,advertisments,advertisements,a much cheaper product in ***mask*** flaws of products are never,might get the impression of a much cheaper product in ***mask*** flaws of products are never told expect there are special,you do look carefully you might get the impression of a much cheaper product in ***mask*** flaws of products are never told expect there are special rights as with the phone
1011317.txt,actuallt,actually,of a product than it ***mask*** is very likely an example,situation makes a better exposure of a product than it ***mask*** is very likely an example might be creams that should,companies will be bought this situation makes a better exposure of a product than it ***mask*** is very likely an example might be creams that should improve the look of human
1011317.txt,merrits,merits,that everything has not only ***mask*** but also flaws which are,contract the last reason is that everything has not only ***mask*** but also flaws which are typically not displayed in order,with the flaws of the contract the last reason is that everything has not only ***mask*** but also flaws which are typically not displayed in order to sell products the producer
1012047.txt,nessecary,nessecary,and noise also it is ***mask*** to built roads through woods,pollute the enviroment with gases and noise also it is ***mask*** to built roads through woods and fields whrere many wild,humans healthy when less cars pollute the enviroment with gases and noise also it is ***mask*** to built roads through woods and fields whrere many wild creatures live and so their
1012047.txt,sstems,systems,the cars could have solar ***mask*** on the roof so the,energy from water or sunlight the cars could have solar ***mask*** on the roof so the air would nont be polluted,us to drive cars with energy from water or sunlight the cars could have solar ***mask*** on the roof so the air would nont be polluted bz this way this would
1012047.txt,destroied,destroyed,and so their homeplaces were ***mask*** people can also go by,whrere many wild creatures live and so their homeplaces were ***mask*** people can also go by train bus and bycicles or,roads through woods and fields whrere many wild creatures live and so their homeplaces were ***mask*** people can also go by train bus and bycicles or by feet or drive together
1012047.txt,bycicles,bicycles,go by train bus and ***mask*** or by feet or drive,were destroied people can also go by train bus and ***mask*** or by feet or drive together with other people in,live and so their homeplaces were destroied people can also go by train bus and ***mask*** or by feet or drive together with other people in one car instead of driving
1012047.txt,homeplaces,homes,creatures live and so their ***mask*** were destroied people can also,and fields whrere many wild creatures live and so their ***mask*** were destroied people can also go by train bus and,to built roads through woods and fields whrere many wild creatures live and so their ***mask*** were destroied people can also go by train bus and bycicles or by feet or
1012047.txt,whrere,where,roads through woods and fields ***mask*** many wild creatures live and,it is nessecary to built roads through woods and fields ***mask*** many wild creatures live and so their homeplaces were destroied,with gases and noise also it is nessecary to built roads through woods and fields ***mask*** many wild creatures live and so their homeplaces were destroied people can also go by
1012047.txt,bz,by,air would nont be polluted ***mask*** this way this would be,on the roof so the air would nont be polluted ***mask*** this way this would be a great,cars could have solar sstems on the roof so the air would nont be polluted ***mask*** this way this would be a great
1012047.txt,recources,resources,will force this behaviour oil ***mask*** are decreasing remarkable in the,think changes in getting oil will force this behaviour oil ***mask*** are decreasing remarkable in the next twenty years and the,instead of driving alone i think changes in getting oil will force this behaviour oil ***mask*** are decreasing remarkable in the next twenty years and the price fot oil will increase
1013583.txt,declaired,declared,sometimes even a book wich ***mask*** to be the best praparation,of a failing result is sometimes even a book wich ***mask*** to be the best praparation for a test and it,for almost everybody one example of a failing result is sometimes even a book wich ***mask*** to be the best praparation for a test and it did not help at all
1013583.txt,comptible,compatible,place to have some vacationtime ***mask*** hotels and the magazin shows,in research for a nice place to have some vacationtime ***mask*** hotels and the magazin shows us a varitie of wunderfull,in travelcataloges we look up in research for a nice place to have some vacationtime ***mask*** hotels and the magazin shows us a varitie of wunderfull posibilities of enjoing our staying
1013583.txt,travelcataloges,travel catalogs,to use are advertisements in ***mask*** we look up in research,fullfilled another example i like to use are advertisements in ***mask*** we look up in research for a nice place to,something it can not beeing fullfilled another example i like to use are advertisements in ***mask*** we look up in research for a nice place to have some vacationtime comptible hotels
1013583.txt,wunderfull,wonderfull,shows us a varitie of ***mask*** posibilities of enjoing our staying,comptible hotels and the magazin shows us a varitie of ***mask*** posibilities of enjoing our staying and by the time we,place to have some vacationtime comptible hotels and the magazin shows us a varitie of ***mask*** posibilities of enjoing our staying and by the time we arriving there is just nothing
1013583.txt,varitie,variety,the magazin shows us a ***mask*** of wunderfull posibilities of enjoing,some vacationtime comptible hotels and the magazin shows us a ***mask*** of wunderfull posibilities of enjoing our staying and by the,a nice place to have some vacationtime comptible hotels and the magazin shows us a ***mask*** of wunderfull posibilities of enjoing our staying and by the time we arriving there is
1013583.txt,vacationtime,vacation time,nice place to have some ***mask*** comptible hotels and the magazin,up in research for a nice place to have some ***mask*** comptible hotels and the magazin shows us a varitie of,advertisements in travelcataloges we look up in research for a nice place to have some ***mask*** comptible hotels and the magazin shows us a varitie of wunderfull posibilities of enjoing our
1013583.txt,fashonindustry,fashion industry,think about cataloges around the ***mask*** we have all these perfect,the following reasons if we think about cataloges around the ***mask*** we have all these perfect looking models in mind with,i hold this opinion for the following reasons if we think about cataloges around the ***mask*** we have all these perfect looking models in mind with dreambodys and we suggest the
1013583.txt,dreambodys,dream bodies,looking models in mind with ***mask*** and we suggest the clothes,we have all these perfect looking models in mind with ***mask*** and we suggest the clothes these models are wearing must,about cataloges around the fashonindustry we have all these perfect looking models in mind with ***mask*** and we suggest the clothes these models are wearing must also perfekt fit to us
1013583.txt,magzin,magazine,left from the sites the ***mask*** had offered us this can,arriving there is just nothing left from the sites the ***mask*** had offered us this can be a very disappointing experience,and by the time we arriving there is just nothing left from the sites the ***mask*** had offered us this can be a very disappointing experience for almost everybody one example
1013583.txt,enjoing,enjoying,varitie of wunderfull posibilities of ***mask*** our staying and by the,the magazin shows us a varitie of wunderfull posibilities of ***mask*** our staying and by the time we arriving there is,some vacationtime comptible hotels and the magazin shows us a varitie of wunderfull posibilities of ***mask*** our staying and by the time we arriving there is just nothing left from the
1013583.txt,perfekt,perfect,models are wearing must also ***mask*** fit to us we have,we suggest the clothes these models are wearing must also ***mask*** fit to us we have no clue that this is,in mind with dreambodys and we suggest the clothes these models are wearing must also ***mask*** fit to us we have no clue that this is not going to happen the
1013583.txt,praparation,preparation,declaired to be the best ***mask*** for a test and it,sometimes even a book wich declaired to be the best ***mask*** for a test and it did not help at all,of a failing result is sometimes even a book wich declaired to be the best ***mask*** for a test and it did not help at all
1013583.txt,magazin,magazine,vacationtime comptible hotels and the ***mask*** shows us a varitie of,nice place to have some vacationtime comptible hotels and the ***mask*** shows us a varitie of wunderfull posibilities of enjoing our,up in research for a nice place to have some vacationtime comptible hotels and the ***mask*** shows us a varitie of wunderfull posibilities of enjoing our staying and by the time
1013583.txt,posibilities,possibilities,us a varitie of wunderfull ***mask*** of enjoing our staying and,hotels and the magazin shows us a varitie of wunderfull ***mask*** of enjoing our staying and by the time we arriving,to have some vacationtime comptible hotels and the magazin shows us a varitie of wunderfull ***mask*** of enjoing our staying and by the time we arriving there is just nothing left
1013583.txt,productes,products,statement that most advertisement make ***mask*** looking better than they actually,i agree with with the statement that most advertisement make ***mask*** looking better than they actually are i hold this opinion,i agree with with the statement that most advertisement make ***mask*** looking better than they actually are i hold this opinion for the following reasons
1013583.txt,cataloges,catalogs,reasons if we think about ***mask*** around the fashonindustry we have,this opinion for the following reasons if we think about ***mask*** around the fashonindustry we have all these perfect looking models,they actually are i hold this opinion for the following reasons if we think about ***mask*** around the fashonindustry we have all these perfect looking models in mind with dreambodys and
1016612.txt,parant,parent,have to do what their ***mask*** want because the parents give,gum young people like children have to do what their ***mask*** want because the parents give them a little money and,happy about a small bubble gum young people like children have to do what their ***mask*** want because the parents give them a little money and food older people have to
1017153.txt,strenthening,strengthening,work can thus contribute to ***mask*** people sense of responsibility and,of different backgrounds together community work can thus contribute to ***mask*** people sense of responsibility and their nevertheless i do not,since community work brings people of different backgrounds together community work can thus contribute to ***mask*** people sense of responsibility and their nevertheless i do not believe that the problem is
1017153.txt,particlarly,particularly,is limited to young people ***mask*** in larger cities where life,not believe that the problem is limited to young people ***mask*** in larger cities where life tends to be more anonymous,and their nevertheless i do not believe that the problem is limited to young people ***mask*** in larger cities where life tends to be more anonymous only few people dedicate time
1017179.txt,pysically,physically,young person can also be ***mask*** psychologically impaired in the same,capacity to enjoy life a young person can also be ***mask*** psychologically impaired in the same way an older person can,joy or better a person capacity to enjoy life a young person can also be ***mask*** psychologically impaired in the same way an older person can be absolutley healthy and fit
