Filename,Error,Correction,Context_5,Context_10,Context_15
1001309.txt,harsch,harsh,in bangladesh during a very ***mask*** time futhermore facts may be,not be interpreted than one in bangladesh during a very ***mask*** time futhermore facts may be linked to a fashion in,change in political majority can not be interpreted than one in bangladesh during a very ***mask*** time futhermore facts may be linked to a fashion in the way of thinking or
1001309.txt,futhermore,furthermore,during a very harsch time ***mask*** facts may be linked to,interpreted than one in bangladesh during a very harsch time ***mask*** facts may be linked to a fashion in the way,political majority can not be interpreted than one in bangladesh during a very harsch time ***mask*** facts may be linked to a fashion in the way of thinking or the way
1001384.txt,applicate,apply,understand things why not only ***mask*** a pattern of thinking that,understanding but why not only understand things why not only ***mask*** a pattern of thinking that you got when you understood,lead and help to the understanding but why not only understand things why not only ***mask*** a pattern of thinking that you got when you understood one system because i think
1001384.txt,abstractive,abstract,happened things which are less ***mask*** so saying that it is,are linked with events that happened things which are less ***mask*** so saying that it is more important for students to,as general ideas whereas facts are linked with events that happened things which are less ***mask*** so saying that it is more important for students to understand ideas and concepts than
1003331.txt,accuratly,accurately,to explore all its parts ***mask*** and have a total control,certain field gives the possibilty to explore all its parts ***mask*** and have a total control about it all moreover being,success being specialized in a certain field gives the possibilty to explore all its parts ***mask*** and have a total control about it all moreover being able to master all of
1003331.txt,additionnally,additionally,knowledge of many academics subjects ***mask*** people always have a subject,a person having a broad knowledge of many academics subjects ***mask*** people always have a subject they prefer in life therefore,this way of leaving then a person having a broad knowledge of many academics subjects ***mask*** people always have a subject they prefer in life therefore focusing on our strenght would
1003331.txt,specizlized,specialized,is good at moreover being ***mask*** in the field and subject,he or she enjoys and is good at moreover being ***mask*** in the field and subject we prefer and are outstanding,engeneering companie based on what he or she enjoys and is good at moreover being ***mask*** in the field and subject we prefer and are outstanding at will higher our chances
1003331.txt,societty,society,you dream off in today ***mask*** people have to get threw,chance to get the job you dream off in today ***mask*** people have to get threw high level education and programs,it but also a better chance to get the job you dream off in today ***mask*** people have to get threw high level education and programs in order to get their
1003331.txt,exellent,excellent,it will give u an ***mask*** knowledge about it but also,to success not only because it will give u an ***mask*** knowledge about it but also a better chance to get,specific subject is the key to success not only because it will give u an ***mask*** knowledge about it but also a better chance to get the job you dream off
1003331.txt,companie,company,a good position in a ***mask*** and a good pay need,persons who want to achieve a good position in a ***mask*** and a good pay need to master their subject and,difficulty and competition has increased persons who want to achieve a good position in a ***mask*** and a good pay need to master their subject and be able to resolve any
1003331.txt,engeneering,engineering,an economic firm or an ***mask*** companie based on what he,scores in math would join an economic firm or an ***mask*** companie based on what he or she enjoys and is,example a person geting a scores in math would join an economic firm or an ***mask*** companie based on what he or she enjoys and is good at moreover being specizlized
100513.txt,profite,profit,goal is reached we can ***mask*** from it as much as,goals in life once an goal is reached we can ***mask*** from it as much as we want but why not,of us should have many goals in life once an goal is reached we can ***mask*** from it as much as we want but why not continue take the example of
1005775.txt,drogs,drugs,price a some product or ***mask*** rise and then having general,able to understand why the price a some product or ***mask*** rise and then having general knowledge is the mark of,of economy he will be able to understand why the price a some product or ***mask*** rise and then having general knowledge is the mark of open minded people those people
1005775.txt,higth,high,is no specialisation until the ***mask*** school and even there the,most of knowledge possible there is no specialisation until the ***mask*** school and even there the specialisation is not really clear,system seach to bring the most of knowledge possible there is no specialisation until the ***mask*** school and even there the specialisation is not really clear as a result french students
1005775.txt,subjet,subject,precise on at least one ***mask***,you are able to be precise on at least one ***mask***,knowledge is good only if you are able to be precise on at least one ***mask***
1005775.txt,areable,are able,a job and when you ***mask*** to do it well having,some thing when you have a job and when you ***mask*** to do it well having a spread knowledge of academic,have a precise knowledge of some thing when you have a job and when you ***mask*** to do it well having a spread knowledge of academic subject is a intresting thing
