Filename,Error,Correction,Context_5,Context_10,Context_15
1000719.txt,knowldge,knowledge,it is said that little ***mask*** is dangerous and harmful when,reasons first of all like it is said that little ***mask*** is dangerous and harmful when u know about a lot,specific subject because of many reasons first of all like it is said that little ***mask*** is dangerous and harmful when u know about a lot of subjects but a very
1001278.txt,sujective,subjective,in life could be very ***mask*** different people might have different,what is meant by enjoyment in life could be very ***mask*** different people might have different views reactions on similar situations,describing what is meant by enjoyment in life could be very ***mask*** different people might have different views reactions on similar situations while one person might
1001278.txt,socailizing,socializing,with their families and friends ***mask*** and doing what they feel,a retired life spending time with their families and friends ***mask*** and doing what they feel good to do on the,old people who enjoy living a retired life spending time with their families and friends ***mask*** and doing what they feel good to do on the contrary one will find young
1001574.txt,knowldge,knowledge,is better to have broader ***mask*** of many academic subject also,makes us realise that it is better to have broader ***mask*** of many academic subject also i feel that having a,one i am giving also makes us realise that it is better to have broader ***mask*** of many academic subject also i feel that having a broader knowledge increases the learning
1001574.txt,questionairre,questionnaire,various intervews and examination the ***mask*** are not from what we,if we study science in various intervews and examination the ***mask*** are not from what we have learned specifically but about,the culture and history even if we study science in various intervews and examination the ***mask*** are not from what we have learned specifically but about our knowledge and i feel
1001574.txt,intervews,interviews,we study science in various ***mask*** and examination the questionairre are,culture and history even if we study science in various ***mask*** and examination the questionairre are not from what we have,have general studies about the culture and history even if we study science in various ***mask*** and examination the questionairre are not from what we have learned specifically but about our
1001574.txt,excell,excel,although specialization is needed to ***mask*** in certain field but in,wider knowledge succeeds in life although specialization is needed to ***mask*** in certain field but in the developing society where everyone,feel that a person having wider knowledge succeeds in life although specialization is needed to ***mask*** in certain field but in the developing society where everyone is busy in the race
1002985.txt,onces,once,elder people from the younger ***mask*** when you dont have much,to the cut off of elder people from the younger ***mask*** when you dont have much people around life can not,with it this further leads to the cut off of elder people from the younger ***mask*** when you dont have much people around life can not be enjoyable ever wondered why
1002985.txt,spoort,sport,not participate in an adventure ***mask*** they can only sit back,instance an older person can not participate in an adventure ***mask*** they can only sit back and relax while watching younger,which have already passed for instance an older person can not participate in an adventure ***mask*** they can only sit back and relax while watching younger people do it with their
1003423.txt,einstien,einstein,problem at hand for example ***mask*** a famous scientist continuously tried,better insights to solve a problem at hand for example ***mask*** a famous scientist continuously tried new things and figured out,somtines gives innovative ideas and better insights to solve a problem at hand for example ***mask*** a famous scientist continuously tried new things and figured out innovative methods to reach a
1003423.txt,employments,employment,the end microsoft generated huge ***mask*** and created products which helped,was able to succeed in the end microsoft generated huge ***mask*** and created products which helped ease certain tasks significantly microsoft,continued to work hard and was able to succeed in the end microsoft generated huge ***mask*** and created products which helped ease certain tasks significantly microsoft helped the world economy to
1003423.txt,methos,method,the tecnological advancements and innovative ***mask*** around i can not say,my father but with all the tecnological advancements and innovative ***mask*** around i can not say that the method known to,art of spear making from my father but with all the tecnological advancements and innovative ***mask*** around i can not say that the method known to me is the best method
1003423.txt,preapared,prepared,method today spears can be ***mask*** with machines which are faster,to me is the best method today spears can be ***mask*** with machines which are faster and more accurate so in,say that the method known to me is the best method today spears can be ***mask*** with machines which are faster and more accurate so in order to do things well
1003423.txt,tecnological,technological,father but with all the ***mask*** advancements and innovative methos around,of spear making from my father but with all the ***mask*** advancements and innovative methos around i can not say that,well i learnt the art of spear making from my father but with all the ***mask*** advancements and innovative methos around i can not say that the method known to me
1003423.txt,somtines,sometimes,new things and taking risks ***mask*** gives innovative ideas and better,the statement is that trying new things and taking risks ***mask*** gives innovative ideas and better insights to solve a problem,the main reason to support the statement is that trying new things and taking risks ***mask*** gives innovative ideas and better insights to solve a problem at hand for example einstien
1003423.txt,enviornment,environment,clear understanding of the changing ***mask*** conditions third if people donot,we need to have a clear understanding of the changing ***mask*** conditions third if people donot try new things and donot,order to do things well we need to have a clear understanding of the changing ***mask*** conditions third if people donot try new things and donot take more risks then the
1004476.txt,definiton,definition,it depends on what the ***mask*** of fun means to these,older people do simply because it depends on what the ***mask*** of fun means to these people fun for young people,people enjoy life more than older people do simply because it depends on what the ***mask*** of fun means to these people fun for young people specially for an adolescent could
1004924.txt,knowlege,knowledge,what use is all that ***mask*** if it ca bring about,putting it to any use what use is all that ***mask*** if it ca bring about any favourable results to support,time can be incapable of putting it to any use what use is all that ***mask*** if it ca bring about any favourable results to support by absolute agreement with this
1004924.txt,innformation,information,a simple action of accessing ***mask*** posed itself as a huge,related to a particular topic a simple action of accessing ***mask*** posed itself as a huge task for me as i,be capable of accessing information related to a particular topic a simple action of accessing ***mask*** posed itself as a huge task for me as i had been used to only
1004924.txt,uderstanding,understanding,learning facts without a real ***mask*** of its true meaning is,agree with this statement merely learning facts without a real ***mask*** of its true meaning is of no use in my,i definitely agree with this statement merely learning facts without a real ***mask*** of its true meaning is of no use in my opinion one can have
1005231.txt,probelms,problems,cram another set of word ***mask*** in primary 6 7 so,then please be ready to cram another set of word ***mask*** in primary 6 7 so on but if you have,cram all word problem solutions then please be ready to cram another set of word ***mask*** in primary 6 7 so on but if you have understood the concept you just
1006666.txt,involutary,involuntary,guide it will be rather ***mask*** that the group will stay,a group has hired a guide it will be rather ***mask*** that the group will stay bonded so there no risk,may get bored so if a group has hired a guide it will be rather ***mask*** that the group will stay bonded so there no risk of loosing someone behind on
1006666.txt,inrtrigue,intrigue,step by step giving out ***mask*** infromation the group members might,because the guide will proceed step by step giving out ***mask*** infromation the group members might have some doubts regarding the,be extrememly sequential and meaningful because the guide will proceed step by step giving out ***mask*** infromation the group members might have some doubts regarding the monuments so it might happen
1006666.txt,extrememly,extremely,seeing new things will be ***mask*** sequential and meaningful because the,the trip the process of seeing new things will be ***mask*** sequential and meaningful because the guide will proceed step by,of loosing someone behind on the trip the process of seeing new things will be ***mask*** sequential and meaningful because the guide will proceed step by step giving out inrtrigue infromation
1006666.txt,infromation,information,by step giving out inrtrigue ***mask*** the group members might have,the guide will proceed step by step giving out inrtrigue ***mask*** the group members might have some doubts regarding the monuments,extrememly sequential and meaningful because the guide will proceed step by step giving out inrtrigue ***mask*** the group members might have some doubts regarding the monuments so it might happen that
1006666.txt,usaually,usually,the number of people it ***mask*** happens in india though but,more money as he fears the number of people it ***mask*** happens in india though but more the people greater the,to save time and get more money as he fears the number of people it ***mask*** happens in india though but more the people greater the interest and this directly affects
1006666.txt,histroy,history,relish one with the date ***mask*** and all its related matters,so a guide will thoroughly relish one with the date ***mask*** and all its related matters moreover if the guide is,technical details are very limited so a guide will thoroughly relish one with the date ***mask*** and all its related matters moreover if the guide is not hired it might happen
100791.txt,engineerin,engineering,decides not to go for ***mask*** on the other hand if,other choices left incase he decides not to go for ***mask*** on the other hand if one scores a b in,but would not have much other choices left incase he decides not to go for ***mask*** on the other hand if one scores a b in most of his subjects he
