Filename,Error,Correction,Context_5,Context_10,Context_15
1001183.txt,affermation,affirmation,below the reason of my ***mask*** is that a person may,i agree whit the statement below the reason of my ***mask*** is that a person may not in the actual society,i agree whit the statement below the reason of my ***mask*** is that a person may not in the actual society know only a specific
1001183.txt,knowleadge,knowledge,it is impossible a general ***mask*** may be theach in some,not know all in absolute it is impossible a general ***mask*** may be theach in some kind of school or by,philosophy of course we can not know all in absolute it is impossible a general ***mask*** may be theach in some kind of school or by studing at home for ourselves
1001183.txt,chenged,changed,be prepared for all this ***mask*** in other i think that,and then we must to be prepared for all this ***mask*** in other i think that is interesting have a general,more flexible than in past and then we must to be prepared for all this ***mask*** in other i think that is interesting have a general culture for example we should
1001183.txt,theach,teach,a general knowleadge may be ***mask*** in some kind of school,in absolute it is impossible a general knowleadge may be ***mask*** in some kind of school or by studing at home,we can not know all in absolute it is impossible a general knowleadge may be ***mask*** in some kind of school or by studing at home for ourselves in other i
1001183.txt,engignering,engineering,case because i study electronic ***mask*** and my future employ will,know latin this is my case because i study electronic ***mask*** and my future employ will be about the only project,a machin do need to know latin this is my case because i study electronic ***mask*** and my future employ will be about the only project who do require other knowleadge
1001183.txt,paticoular,particular,very interesting know all the ***mask*** of somethink without this way,personally i think that is very interesting know all the ***mask*** of somethink without this way to think in the past,require other knowleadge in other personally i think that is very interesting know all the ***mask*** of somethink without this way to think in the past it was posible invent very
1001183.txt,engigneer,engineer,as the professor or the ***mask*** to project a machin do,have need a specific knowleadge as the professor or the ***mask*** to project a machin do need to know latin this,a subject infact many job have need a specific knowleadge as the professor or the ***mask*** to project a machin do need to know latin this is my case because i
100132.txt,pubblic,public,we do use very much ***mask*** transports like buses or trains,do move without them and we do use very much ***mask*** transports like buses or trains generally people work in city,environment cars are everywere we do move without them and we do use very much ***mask*** transports like buses or trains generally people work in city where there are lots of
100132.txt,petroil,petrol,this will permit to eliminate ***mask*** and to use other material,in addiction technology involves and this will permit to eliminate ***mask*** and to use other material so pollution will be eliminate,money and a good job in addiction technology involves and this will permit to eliminate ***mask*** and to use other material so pollution will be eliminate in conclusion i hope that
100132.txt,trasports,transports,there are lots of pubblic ***mask*** but they prefere to parking,people work in city where there are lots of pubblic ***mask*** but they prefere to parking near the office or near,like buses or trains generally people work in city where there are lots of pubblic ***mask*** but they prefere to parking near the office or near the factory it should be
1001901.txt,healt,health,by alder persons if the ***mask*** is good maybe in my,things can be done also by alder persons if the ***mask*** is good maybe in my opinion young people can enjoy,their time toghether the same things can be done also by alder persons if the ***mask*** is good maybe in my opinion young people can enjoy life with more sports than
1001901.txt,energie,energies,a young heart full of ***mask*** but older people have however,spend they have resistance and a young heart full of ***mask*** but older people have however many others valid ways to,body with many energies to spend they have resistance and a young heart full of ***mask*** but older people have however many others valid ways to enjoy life they can spend
1001901.txt,toghether,together,cafes and spend their time ***mask*** the same things can be,eachothers in disco clubs pubs cafes and spend their time ***mask*** the same things can be done also by alder persons,life young peolple can meet eachothers in disco clubs pubs cafes and spend their time ***mask*** the same things can be done also by alder persons if the healt is good
1001901.txt,peolple,people,ways to enjoy life young ***mask*** can meet eachothers in disco,to all aged persons right ways to enjoy life young ***mask*** can meet eachothers in disco clubs pubs cafes and spend,and also little countries offer to all aged persons right ways to enjoy life young ***mask*** can meet eachothers in disco clubs pubs cafes and spend their time toghether the same
1004355.txt,radicate,eradicate,your problem that is very ***mask*** in my nation the modern,program television to talk about your problem that is very ***mask*** in my nation the modern society rappresented the perfect ambient,more people go to this program television to talk about your problem that is very ***mask*** in my nation the modern society rappresented the perfect ambient to influenced the minds of
1004355.txt,argoment,argument,any product to explain this ***mask*** in my nation at the,but is only important buy any product to explain this ***mask*** in my nation at the television there is an program,not rappresented the your necessity but is only important buy any product to explain this ***mask*** in my nation at the television there is an program that discuss of the problem
1004355.txt,inportant,important,about this argoment is very ***mask*** to illustre any examples the,to explain all the aspect about this argoment is very ***mask*** to illustre any examples the television programs that every day,with i do fighting but to explain all the aspect about this argoment is very ***mask*** to illustre any examples the television programs that every day introduce in the minds more
1004355.txt,rathen,rather,of today time this products ***mask*** are not much better but,this is an important aspect of today time this products ***mask*** are not much better but today is not important the,this is an important aspect of today time this products ***mask*** are not much better but today is not important the really character of the
1004355.txt,illustre,illustrate,argoment is very inportant to ***mask*** any examples the television programs,all the aspect about this argoment is very inportant to ***mask*** any examples the television programs that every day introduce in,do fighting but to explain all the aspect about this argoment is very inportant to ***mask*** any examples the television programs that every day introduce in the minds more argoment news
1004355.txt,rappresent,represent,propriety when this problem will ***mask*** the must argoment of the,person the society lose the propriety when this problem will ***mask*** the must argoment of the talk and the life of,by the activity of any person the society lose the propriety when this problem will ***mask*** the must argoment of the talk and the life of the people because as very
1004355.txt,rappresented,represented,money and the client not ***mask*** the important actor in this,the product but only the money and the client not ***mask*** the important actor in this process every day any people,important the really character of the product but only the money and the client not ***mask*** the important actor in this process every day any people buy same products that is
1005569.txt,recents,recent,knowdlege of itself and the ***mask*** improving in health condition of,given by experience a deep knowdlege of itself and the ***mask*** improving in health condition of elderly makes me see my,a broader vision of thinks given by experience a deep knowdlege of itself and the ***mask*** improving in health condition of elderly makes me see my future years in an optimist
1005569.txt,intere,entire,the experience gained during an ***mask*** lifetime can be useful to,that because i think that the experience gained during an ***mask*** lifetime can be useful to go throuhgh the problems more,old without a particular fear that because i think that the experience gained during an ***mask*** lifetime can be useful to go throuhgh the problems more deeply this broader vision of
1005569.txt,ponderate,ponderous,the necessary experience to make ***mask*** and rational choices as another,end elderly people have gained the necessary experience to make ***mask*** and rational choices as another factor that makes me state,be done on the other end elderly people have gained the necessary experience to make ***mask*** and rational choices as another factor that makes me state that you can still enjoy
1005569.txt,throuhgh,through,can be useful to go ***mask*** the problems more deeply this,gained during an intere lifetime can be useful to go ***mask*** the problems more deeply this broader vision of thinks given,i think that the experience gained during an intere lifetime can be useful to go ***mask*** the problems more deeply this broader vision of thinks given by experience can definitely lead
1005569.txt,knowdlege,knowledge,given by experience a deep ***mask*** of itself and the recents,a broader vision of thinks given by experience a deep ***mask*** of itself and the recents improving in health condition of,people all those factors as a broader vision of thinks given by experience a deep ***mask*** of itself and the recents improving in health condition of elderly makes me see my
1006136.txt,peolpe,people,possibility to presence of famous ***mask*** the use of particular words,the reasons are various the possibility to presence of famous ***mask*** the use of particular words or even the use of,i perfectly agree with it the reasons are various the possibility to presence of famous ***mask*** the use of particular words or even the use of a combination of different colours
1006136.txt,complitey,completely,advertisements is in my opinion ***mask*** correct i perfectly agree with,the statement about advertisements is in my opinion ***mask*** correct i perfectly agree with it the reasons are,the statement about advertisements is in my opinion ***mask*** correct i perfectly agree with it the reasons are various the possibility to presence
1006136.txt,commenly,commonly,and some others are less ***mask*** chosen in conclusion it is,why some colours are used and some others are less ***mask*** chosen in conclusion it is possible to confirm that some,more complex capacities this is why some colours are used and some others are less ***mask*** chosen in conclusion it is possible to confirm that some products seem much better that
1006136.txt,propper,proper,that light blue is more ***mask*** for this purpose differently red,for medicines usually doctors say that light blue is more ***mask*** for this purpose differently red and orange have other more,an example could be advertisements for medicines usually doctors say that light blue is more ***mask*** for this purpose differently red and orange have other more complex capacities this is why
1006136.txt,choccolate,chocolate,that if you talk about ***mask*** and you write a sentence,watch the advertisement this means that if you talk about ***mask*** and you write a sentence where you state that this,that influence the people that watch the advertisement this means that if you talk about ***mask*** and you write a sentence where you state that this food helps when you are
100625.txt,specifical,specific,which we can find many ***mask*** informations in the world wide,on our desktop and in which we can find many ***mask*** informations in the world wide web therfore the knowledge is,many problems whith a click on our desktop and in which we can find many ***mask*** informations in the world wide web therfore the knowledge is more next to the people
100625.txt,possilibities,possibilities,knowledge beacause he have much ***mask*** having more fields of knowledge,a person with a specific knowledge beacause he have much ***mask*** having more fields of knowledge in may opinion is right,find work more easy than a person with a specific knowledge beacause he have much ***mask*** having more fields of knowledge in may opinion is right which people do that they
