Filename,Error,Correction,Context_5,Context_10,Context_15
1000392.txt,althogh,although,anybody help in the community ***mask*** some young people are helping,do most of things without anybody help in the community ***mask*** some young people are helping their communities by volunteering however,games in addition we can do most of things without anybody help in the community ***mask*** some young people are helping their communities by volunteering however now it has been works
1000392.txt,nurtred,nurtured,young people thought they were ***mask*** and educated by the community,if they behaved badly so young people thought they were ***mask*** and educated by the community therefore they tended to think,scold by other child parents if they behaved badly so young people thought they were ***mask*** and educated by the community therefore they tended to think that they had to return
1000528.txt,excesive,excessive,are several reasons firstly an ***mask*** advertisement confuses the consumer usually,about how advertisement are there are several reasons firstly an ***mask*** advertisement confuses the consumer usually the consumer buy the goods,i disagree the statement said about how advertisement are there are several reasons firstly an ***mask*** advertisement confuses the consumer usually the consumer buy the goods based on the information that
1000528.txt,execesise,exercise,weight so i buy the ***mask*** machine the advertisement said i,i want to lose my weight so i buy the ***mask*** machine the advertisement said i could lose my weight without,must be confused for me i want to lose my weight so i buy the ***mask*** machine the advertisement said i could lose my weight without suffering and thet was very
1000528.txt,acutually,actually,the advertisement if they were ***mask*** good for me thirdly that,weight i perfectly doubt for the advertisement if they were ***mask*** good for me thirdly that is not good at my,method of the losing the weight i perfectly doubt for the advertisement if they were ***mask*** good for me thirdly that is not good at my country society although excesive advertisement
1000528.txt,probrem,problem,repetition as i suffered that ***mask*** mentioned above i do not,excesive advertisement prevailed lose their repetition as i suffered that ***mask*** mentioned above i do not have any confident toward the,the companies by which the excesive advertisement prevailed lose their repetition as i suffered that ***mask*** mentioned above i do not have any confident toward the company the company have still
1000528.txt,comsumption,consumption,sold with the deadline of ***mask*** because that food is safe,example foods are to be sold with the deadline of ***mask*** because that food is safe to eat but rcently date,at my country society for example foods are to be sold with the deadline of ***mask*** because that food is safe to eat but rcently date deadline of comsumption date is
1000528.txt,rcently,recently,is safe to eat but ***mask*** date deadline of comsumption date,of comsumption because that food is safe to eat but ***mask*** date deadline of comsumption date is intentionally changed by the,be sold with the deadline of comsumption because that food is safe to eat but ***mask*** date deadline of comsumption date is intentionally changed by the company this is very discoraged
1000528.txt,discoraged,discouraged,the company this is very ***mask*** toward my country nation so,date is intentionally changed by the company this is very ***mask*** toward my country nation so that reasons i disagree with,rcently date deadline of comsumption date is intentionally changed by the company this is very ***mask*** toward my country nation so that reasons i disagree with the statement
100101.txt,blllosome,blossom,elder people for example cherry ***mask*** festival in spring fire works,festivals for loxcal childrens and elder people for example cherry ***mask*** festival in spring fire works in summer they held a,community provided a lot of festivals for loxcal childrens and elder people for example cherry ***mask*** festival in spring fire works in summer they held a moon festival in fall and
100101.txt,familier,familiar,do not have so many ***mask*** people in my community the,those events also actually i do not have so many ***mask*** people in my community the relationship of our community is,many young people to help those events also actually i do not have so many ***mask*** people in my community the relationship of our community is not so good if we
100101.txt,joind,joined,junior high scool student i ***mask*** such many kind of volunteer,ago also when i was junior high scool student i ***mask*** such many kind of volunteer works but i did not,the one of many years ago also when i was junior high scool student i ***mask*** such many kind of volunteer works but i did not have so many opportunites to
100101.txt,loxcal,local,a lot of festivals for ***mask*** childrens and elder people for,her story the community provided a lot of festivals for ***mask*** childrens and elder people for example cherry blllosome festival in,lived and her according to her story the community provided a lot of festivals for ***mask*** childrens and elder people for example cherry blllosome festival in spring fire works in summer
100101.txt,finter,winter,the new years day in ***mask*** thr shrine in the community,moon festival in fall and the new years day in ***mask*** thr shrine in the community made rice cakes with the,in summer they held a moon festival in fall and the new years day in ***mask*** thr shrine in the community made rice cakes with the local people every case of
100101.txt,plase,place,so many time because the ***mask*** i live is kind of,to join the local event so many time because the ***mask*** i live is kind of old and there are not,did not have such opportunities to join the local event so many time because the ***mask*** i live is kind of old and there are not so many young people to
100101.txt,reletionship,relationship,the opprtunities and the good ***mask*** of the community will be,help it the circulation holding the opprtunities and the good ***mask*** of the community will be made up this is a,the holding events again and help it the circulation holding the opprtunities and the good ***mask*** of the community will be made up this is a story when my mother was
100101.txt,opportunites,opportunities,did not have so many ***mask*** to help my own community,of volunteer works but i did not have so many ***mask*** to help my own community as long as i emember,i joind such many kind of volunteer works but i did not have so many ***mask*** to help my own community as long as i emember every time i do volunteer
100101.txt,thr,the,new years day in finter ***mask*** shrine in the community made,festival in fall and the new years day in finter ***mask*** shrine in the community made rice cakes with the local,summer they held a moon festival in fall and the new years day in finter ***mask*** shrine in the community made rice cakes with the local people every case of those
100101.txt,opprtunities,opportunities,it the circulation holding the ***mask*** and the good reletionship of,holding events again and help it the circulation holding the ***mask*** and the good reletionship of the community will be made,people want to help the holding events again and help it the circulation holding the ***mask*** and the good reletionship of the community will be made up this is a story
100101.txt,goiod,good,comunity is that there no ***mask*** relationship among the community,people do not help the comunity is that there no ***mask*** relationship among the community,reason i think recent young people do not help the comunity is that there no ***mask*** relationship among the community
