Filename,Error,Correction,Context_5,Context_10,Context_15
1000434.txt,manifasted,manifested,risky this contention is lucidly ***mask*** in history of mc donalds,stuffs even though it seems risky this contention is lucidly ***mask*** in history of mc donalds and book le papillon the,is important to try new stuffs even though it seems risky this contention is lucidly ***mask*** in history of mc donalds and book le papillon the owner of mc donald kropper
1000434.txt,selfishnes,selfishness,of the corrupted medias and ***mask*** of people there are several,sick of their world because of the corrupted medias and ***mask*** of people there are several protagonists but one of the,protagonists of this book are sick of their world because of the corrupted medias and ***mask*** of people there are several protagonists but one of the protagonists who is scientist first
1000434.txt,lucidly,luckily,seems risky this contention is ***mask*** manifasted in history of mc,new stuffs even though it seems risky this contention is ***mask*** manifasted in history of mc donalds and book le papillon,it is important to try new stuffs even though it seems risky this contention is ***mask*** manifasted in history of mc donalds and book le papillon the owner of mc donald
1001063.txt,eassier,easier,ideas and concepts is more ***mask*** than learning facts because if,useful in addition to understanding ideas and concepts is more ***mask*** than learning facts because if students were able to understand,them can make thier opinion useful in addition to understanding ideas and concepts is more ***mask*** than learning facts because if students were able to understand them maybe they can not
1001063.txt,activies,actives,forget them this is poor ***mask*** third learning facts is not,students learn facts they might forget them this is poor ***mask*** third learning facts is not cheeper than understanding ideas and,save our life time if students learn facts they might forget them this is poor ***mask*** third learning facts is not cheeper than understanding ideas and concepts if we try to
1001063.txt,unclearly,unclear,difficult the world economic is ***mask*** because of high oil prices,job getting jobs is very difficult the world economic is ***mask*** because of high oil prices weaken dolloar and so on,so we can get a job getting jobs is very difficult the world economic is ***mask*** because of high oil prices weaken dolloar and so on therefore possibly i recommend understanding
1001063.txt,larn,learn,learning is not secondly to ***mask*** facts is difficult for example,can not forget them but learning is not secondly to ***mask*** facts is difficult for example if students try to remember,to understand them maybe they can not forget them but learning is not secondly to ***mask*** facts is difficult for example if students try to remember facts they might spend more
1001063.txt,cheeper,cheaper,third learning facts is not ***mask*** than understanding ideas and concepts,them this is poor activies third learning facts is not ***mask*** than understanding ideas and concepts if we try to learn,learn facts they might forget them this is poor activies third learning facts is not ***mask*** than understanding ideas and concepts if we try to learn facts we pay the fees
1001063.txt,agress,agrees,i ***mask*** that it is more,i ***mask*** that it is more important for students to understand,i ***mask*** that it is more important for students to understand idras and concepts than itis
1001063.txt,idras,ideas,important for students to understand ***mask*** and concepts than itis for,agress that it is more important for students to understand ***mask*** and concepts than itis for them to learn facts first,i agress that it is more important for students to understand ***mask*** and concepts than itis for them to learn facts first if students can understand
