Filename,Error,Correction,Context_5,Context_10,Context_15
1001502.txt,thinkig,thinking,places with previous anticipaction without ***mask*** if we will get tickets,reserved all expositions destinys and places with previous anticipaction without ***mask*** if we will get tickets or not the leader has,of our personal stuff and reserved all expositions destinys and places with previous anticipaction without ***mask*** if we will get tickets or not the leader has a lot of experience in
1001502.txt,turistics,touristic,their knowledge about all important ***mask*** sites and how easilly he,guide because of their experience their knowledge about all important ***mask*** sites and how easilly he can move between the cities,group lead by a tour guide because of their experience their knowledge about all important ***mask*** sites and how easilly he can move between the cities places and small villages you
1001502.txt,visti,visit,to europe some day to ***mask*** the exact same places i,yours however if i return to europe some day to ***mask*** the exact same places i did during that month i,place is quite different as yours however if i return to europe some day to ***mask*** the exact same places i did during that month i will be travelling backpacking just
1001502.txt,destinys,destinations,stuff and reserved all expositions ***mask*** and places with previous anticipaction,take care of our personal stuff and reserved all expositions ***mask*** and places with previous anticipaction without thinkig if we will,who wake up every morning take care of our personal stuff and reserved all expositions ***mask*** and places with previous anticipaction without thinkig if we will get tickets or not the
1001502.txt,easilly,easily,important turistics sites and how ***mask*** he can move between the,experience their knowledge about all important turistics sites and how ***mask*** he can move between the cities places and small villages,tour guide because of their experience their knowledge about all important turistics sites and how ***mask*** he can move between the cities places and small villages you are planning to visit
1001502.txt,anticipaction,anticipation,destinys and places with previous ***mask*** without thinkig if we will,stuff and reserved all expositions destinys and places with previous ***mask*** without thinkig if we will get tickets or not the,take care of our personal stuff and reserved all expositions destinys and places with previous ***mask*** without thinkig if we will get tickets or not the leader has a lot of
1001632.txt,sensiblility,sensibility,the lack of sense and ***mask*** they have not only for,since they were born and the lack of sense and ***mask*** they have not only for helping their comunities but also,they have but their education since they were born and the lack of sense and ***mask*** they have not only for helping their comunities but also for helping other people i
1001632.txt,comunities,communities,much time for helping their ***mask*** in my opinion i think,young people nowadays have not much time for helping their ***mask*** in my opinion i think that young people is able,with the idea that if young people nowadays have not much time for helping their ***mask*** in my opinion i think that young people is able to do that but lats
1001632.txt,chating,chatting,are many hours a day ***mask*** or playing with the playstation,front of it the children are many hours a day ***mask*** or playing with the playstation or watching horribles shows with,the young people keep in front of it the children are many hours a day ***mask*** or playing with the playstation or watching horribles shows with level of education zero new
1001632.txt,oportunities,opportunities,people and bring them more ***mask*** with more activities,information about education for young people and bring them more ***mask*** with more activities,it has to be more information about education for young people and bring them more ***mask*** with more activities
1001632.txt,horribles,horrible,with the playstation or watching ***mask*** shows with level of education,a day chating or playing with the playstation or watching ***mask*** shows with level of education zero new generations have change,the children are many hours a day chating or playing with the playstation or watching ***mask*** shows with level of education zero new generations have change a lot another big big
1001632.txt,hepl,help,lot of free hours to ***mask*** their comunities the main problem,eight so they have a lot of free hours to ***mask*** their comunities the main problem now is the boom of,six hours a day or eight so they have a lot of free hours to ***mask*** their comunities the main problem now is the boom of the internet and the poor
1001632.txt,grugs,drugs,stars in the world of ***mask*** since they are very little,are drugs very young people stars in the world of ***mask*** since they are very little maybe because of social problems,another big big problem now are drugs very young people stars in the world of ***mask*** since they are very little maybe because of social problems or problems in their families
