Filename,Error,Correction,Context_5,Context_10,Context_15
1000235.txt,diiferent,different,are well experienced and have ***mask*** ways to approach things to,the people who are successfull are well experienced and have ***mask*** ways to approach things to solve their problems since they,of the following reasons first the people who are successfull are well experienced and have ***mask*** ways to approach things to solve their problems since they already know what is good
1000235.txt,pateint,patient,world for example if a ***mask*** has a cancer and he,ones lifes in this beautiful world for example if a ***mask*** has a cancer and he is taking appropriate medications but,a little longer and enjoy ones lifes in this beautiful world for example if a ***mask*** has a cancer and he is taking appropriate medications but the symptoms of cancer are
1000235.txt,strugglle,struggle,thomas edison has undergone great ***mask*** in inventing the bulb if,again and again for example thomas edison has undergone great ***mask*** in inventing the bulb if other scientists worked on the,working on the same thing again and again for example thomas edison has undergone great ***mask*** in inventing the bulb if other scientists worked on the same research then we would
1000235.txt,lgained,gained,their experience and knowledge they ***mask*** for example scientists who come,and what is bad from their experience and knowledge they ***mask*** for example scientists who come up with new innovations in,already know what is good and what is bad from their experience and knowledge they ***mask*** for example scientists who come up with new innovations in this present world are very
1000235.txt,chemotheraphy,chemotherapy,for a doctor to try ***mask*** ie use uv rays which,medicines then it is better for a doctor to try ***mask*** ie use uv rays which are very hard to tolerate,working with the use of medicines then it is better for a doctor to try ***mask*** ie use uv rays which are very hard to tolerate but has high chances of
1000276.txt,adevrtsing,advertising,their product for example conside ***mask*** cereals an advertisement about a,providing all the information about their product for example conside ***mask*** cereals an advertisement about a cereal would give us information,to convince a consumer by providing all the information about their product for example conside ***mask*** cereals an advertisement about a cereal would give us information about the percentage of calories
1002561.txt,futhermore,furthermore,in the next twenty years ***mask*** when we look at the,of cars would drastically increase in the next twenty years ***mask*** when we look at the issue from other point of,view the usage of number of cars would drastically increase in the next twenty years ***mask*** when we look at the issue from other point of view like when the time
1002561.txt,considerartion,consideration,the time is taken into ***mask*** the cars of today are,point of view like when the time is taken into ***mask*** the cars of today are much faster basically because of,at the issue from other point of view like when the time is taken into ***mask*** the cars of today are much faster basically because of the technology used for example
1002561.txt,progerssing,progressing,view as the technology is ***mask*** at a faster pace and,next twenty years in my view as the technology is ***mask*** at a faster pace and the economy of an induvidual,cars in usage in the next twenty years in my view as the technology is ***mask*** at a faster pace and the economy of an induvidual will be increased so there
1002561.txt,induvidual,individual,and the economy of an ***mask*** will be increased so there,progerssing at a faster pace and the economy of an ***mask*** will be increased so there will be increase in the,view as the technology is progerssing at a faster pace and the economy of an ***mask*** will be increased so there will be increase in the number of cars in the
