Filename,Error,Correction,Context_5,Context_10,Context_15
100082.txt,easly,easily,to do finally it is ***mask*** seen that i do not,enjoyable activities that they want to do finally it is ***mask*** seen that i do not want to be older,abilities are appropriate for the enjoyable activities that they want to do finally it is ***mask*** seen that i do not want to be older
100082.txt,unexited,unexcited,and find such and event ***mask*** only neccesary secondly the young,ego about it years ago and find such and event ***mask*** only neccesary secondly the young people have more chance to,it in he filled his ego about it years ago and find such and event ***mask*** only neccesary secondly the young people have more chance to do enjoyable activities because their
100082.txt,experinced,experienced,since young people are not ***mask*** it is seen that most,the old people do firstly since young people are not ***mask*** it is seen that most of the events are interesting,people would enjoy life than the old people do firstly since young people are not ***mask*** it is seen that most of the events are interesting however the old people are
100082.txt,entertainmant,entertainment,people will want to go ***mask*** parks and they have an,not for example the young people will want to go ***mask*** parks and they have an ability to this also their,interesting activities but older may not for example the young people will want to go ***mask*** parks and they have an ability to this also their hormones are ready to create
100082.txt,exiteness,excitement,everything started to lose its ***mask*** i would claim that young,that while i was growing everything started to lose its ***mask*** i would claim that young people would enjoy life than,life again since i realized that while i was growing everything started to lose its ***mask*** i would claim that young people would enjoy life than the old people do firstly
100082.txt,activitie,activities,to do that kind of ***mask*** even they have they would,people may not have ability to do that kind of ***mask*** even they have they would not release adrenalin and the,the event enjoyable however older people may not have ability to do that kind of ***mask*** even they have they would not release adrenalin and the event would not be that
100082.txt,situatins,situations,person in life encountered with ***mask*** some are good some are,the life goes on every person in life encountered with ***mask*** some are good some are bad however the best think,the time passes and the life goes on every person in life encountered with ***mask*** some are good some are bad however the best think we can do is
100483.txt,spacialization,specialization,makes you more intellectual but ***mask*** is required in order to,a qualified person it only makes you more intellectual but ***mask*** is required in order to have a good job opportunity,people that you are not a qualified person it only makes you more intellectual but ***mask*** is required in order to have a good job opportunity today being intellectual does not
1005473.txt,transpotation,transportation,technology there are more new ***mask*** vecihles invented one of most,with the developments in the technology there are more new ***mask*** vecihles invented one of most important invetnion is the invention,with the developments in the technology there are more new ***mask*** vecihles invented one of most important invetnion is the invention of car with this
1005473.txt,invetnion,invention,invented one of most important ***mask*** is the invention of car,are more new transpotation vecihles invented one of most important ***mask*** is the invention of car with this invention a lot,developments in the technology there are more new transpotation vecihles invented one of most important ***mask*** is the invention of car with this invention a lot of developments occured in people
1005473.txt,mesures,measures,protection of the enviroment and ***mask*** to decline problems about daily,governments in terms of the protection of the enviroment and ***mask*** to decline problems about daily city life the main environmental,the new regulations of the governments in terms of the protection of the enviroment and ***mask*** to decline problems about daily city life the main environmental problem are arised by the
1005473.txt,invetions,inventions,passing on ways however the ***mask*** causes many problems in terms,transportation especially shortens the time passing on ways however the ***mask*** causes many problems in terms of enviroment and the daily,a lot of opportunity in transportation especially shortens the time passing on ways however the ***mask*** causes many problems in terms of enviroment and the daily city life thus i do
1005473.txt,porvides,provides,occured in people life it ***mask*** a lot of opportunity in,invention a lot of developments occured in people life it ***mask*** a lot of opportunity in transportation especially shortens the time,invention of car with this invention a lot of developments occured in people life it ***mask*** a lot of opportunity in transportation especially shortens the time passing on ways however the
1005473.txt,occured,occurred,invention a lot of developments ***mask*** in people life it porvides,invention of car with this invention a lot of developments ***mask*** in people life it porvides a lot of opportunity in,most important invetnion is the invention of car with this invention a lot of developments ***mask*** in people life it porvides a lot of opportunity in transportation especially shortens the time
1005473.txt,vecihles,vehicles,there are more new transpotation ***mask*** invented one of most important,the developments in the technology there are more new transpotation ***mask*** invented one of most important invetnion is the invention of,with the developments in the technology there are more new transpotation ***mask*** invented one of most important invetnion is the invention of car with this invention
1005551.txt,experinced,experienced,are passed people get more ***mask*** and finally older people understand,age completely secondly when years are passed people get more ***mask*** and finally older people understand life better than younger ones,life does not connected to age completely secondly when years are passed people get more ***mask*** and finally older people understand life better than younger ones which help them to enjoy
1005551.txt,phsical,physical,is enjoying related to your ***mask*** situation what i think is,lets try to define enjoying is enjoying related to your ***mask*** situation what i think is that enjoying is having fun,enjoy more to begin with lets try to define enjoying is enjoying related to your ***mask*** situation what i think is that enjoying is having fun and being happy in a
1005551.txt,consired,considered,of things which can be ***mask*** as taste in life learn,people who lived a lot of things which can be ***mask*** as taste in life learn how to defend and stand,reached the considerably old ages people who lived a lot of things which can be ***mask*** as taste in life learn how to defend and stand for bad happenings and it
1005743.txt,consantrate,concentrate,school enterance exams make them ***mask*** on their lessons and dont,the university exams and high school enterance exams make them ***mask*** on their lessons and dont let them interest any other,than they had to before the university exams and high school enterance exams make them ***mask*** on their lessons and dont let them interest any other things so young people cant
1005743.txt,habbits,habits,have some new interests and ***mask*** they are addictive to entertainment,have no connection young people have some new interests and ***mask*** they are addictive to entertainment devices such as tv and,are some reasons for they have no connection young people have some new interests and ***mask*** they are addictive to entertainment devices such as tv and computer they wach what happens
1005743.txt,conutrys,countries,tv and connect all the ***mask*** people by internet this make,happens in the world in tv and connect all the ***mask*** people by internet this make them not communicate with their,and computer they wach what happens in the world in tv and connect all the ***mask*** people by internet this make them not communicate with their communiyies on the other hand
1005743.txt,bahave,behave,what manner to speak or ***mask*** to their communties this makes,enough information about their customs what manner to speak or ***mask*** to their communties this makes young people to be less,other hand parents dont give enough information about their customs what manner to speak or ***mask*** to their communties this makes young people to be less familiar with their customs so
1005743.txt,cahanged,changed,us that the time has ***mask*** very much the youth also,sometimes our parents tell us that the time has ***mask*** very much the youth also has changed according to,sometimes our parents tell us that the time has ***mask*** very much the youth also has changed according to time young people nowadays do
1005743.txt,communties,communities,speak or bahave to their ***mask*** this makes young people to,their customs what manner to speak or bahave to their ***mask*** this makes young people to be less familiar with their,dont give enough information about their customs what manner to speak or bahave to their ***mask*** this makes young people to be less familiar with their customs so they find other
1005743.txt,communiyies,communities,them not communicate with their ***mask*** on the other hand parents,people by internet this make them not communicate with their ***mask*** on the other hand parents dont give enough information about,and connect all the conutrys people by internet this make them not communicate with their ***mask*** on the other hand parents dont give enough information about their customs what manner to
1005891.txt,opportunuties,opportunities,transportation in fact when the ***mask*** such as comfort and rapid,one of major means of transportation in fact when the ***mask*** such as comfort and rapid access to locations it provides,cars are one of major means of transportation in fact when the ***mask*** such as comfort and rapid access to locations it provides is considered it is
1005891.txt,opimion,opinion,alternatives in conclusion in my ***mask*** number of cars in use,energy can be considered as alternatives in conclusion in my ***mask*** number of cars in use is not expected to decrease,example solar energy of hydrogen energy can be considered as alternatives in conclusion in my ***mask*** number of cars in use is not expected to decrease in stead it becomes more
1005891.txt,crowdedness,crowded,cause certain problems such as ***mask*** or air pollution i do,people may argue that cars cause certain problems such as ***mask*** or air pollution i do not foresee any change in,vehicle of people although some people may argue that cars cause certain problems such as ***mask*** or air pollution i do not foresee any change in the number of cars in
1006571.txt,adeas,ideas,to learn something than understand ***mask*** and concepts only for example,be very easy and quickly to learn something than understand ***mask*** and concepts only for example before being a lawyer in,the real life it will be very easy and quickly to learn something than understand ***mask*** and concepts only for example before being a lawyer in the school because they do
1006571.txt,teorical,theoretical,that there are differences between ***mask*** information and implementation secondly if,facts he or she realize that there are differences between ***mask*** information and implementation secondly if they are in the real,and come across the real facts he or she realize that there are differences between ***mask*** information and implementation secondly if they are in the real life it will be very
1009768.txt,frigator,refrigerator,example wash machine dish machine ***mask*** television and as a last,life easier than before for example wash machine dish machine ***mask*** television and as a last step of today there are,new things which make their life easier than before for example wash machine dish machine ***mask*** television and as a last step of today there are cellphone computer internet etc all
